method,seed,epoch,seconds,learning_rate,loss,pde_loss,boundary_loss,interface_loss,keff,keff_error,flux_error,acceptance_score,paper_budget_reached
gipmnn,2026071102,1,0.11710739997215569,0.001,4961.06396484375,4960.8095703125,0.25462788343429565,0.0,0.14576017745180705,0.8495456467260456,0.7515022767701044,2104.3984313253545,0
gipmnn,2026071102,1000,53.623166899895296,0.001,3.5483510494232178,3.3923418521881104,0.156009241938591,0.0,0.9617316552253853,0.007295979329701393,0.916114286579932,18.072775154078258,0
gipmnn,2026071102,2000,105.20276560005732,0.001,1.720466136932373,1.5747015476226807,0.14576455950737,0.0,0.9632229683866216,0.005756638742132962,0.6658673540619683,14.2596946795466,0
gipmnn,2026071102,3000,153.06817499990575,0.001,1.5302077531814575,1.397605538368225,0.13260217010974884,0.0,0.9638734649945639,0.00508519302790674,0.5801655563472973,12.596465266055834,0
gipmnn,2026071102,4000,204.68357870006002,0.001,1.3666942119598389,1.238154411315918,0.12853975594043732,0.0,0.9643478825400639,0.004595496965251984,0.5466508466496774,11.383445541867685,0
gipmnn,2026071102,5000,256.13618999999017,0.001,2.486436605453491,2.379465103149414,0.10697141289710999,0.0,0.964766565529701,0.004163330378095608,0.5168028702606102,10.312931330432518,0
gipmnn,2026071102,6000,304.9611633999739,0.001,2.356806516647339,2.2628731727600098,0.09393340349197388,0.0,0.965307958759512,0.0036045016933195337,0.45048043896437784,8.92866409046206,0
gipmnn,2026071102,7000,354.3576887999661,0.001,1.2393652200698853,1.1531198024749756,0.08624541759490967,0.0,0.9659462793241171,0.0029456241493423345,0.4033079436400113,7.296567127427135,0
gipmnn,2026071102,8000,416.7471258000005,0.001,1.0888628959655762,1.0170626640319824,0.07180026173591614,0.0,0.9663704116240311,0.002507832758019044,0.39140015522421795,6.212119787017697,0
gipmnn,2026071102,9000,481.1930720000528,0.001,0.8104478716850281,0.7551838755607605,0.055263977497816086,0.0,0.9663776370039464,0.002500374686265054,0.37395599318263073,6.193645494835407,0
gipmnn,2026071102,10000,544.7678215000778,0.001,1.4657093286514282,1.4183186292648315,0.04739074036478996,0.0,0.966908574909712,0.0019523380370437098,0.35482386521441756,4.836111065255659,0
gipmnn,2026071102,11000,605.4020897999872,0.001,0.7374245524406433,0.7021641135215759,0.035260412842035294,0.0,0.9669995814972825,0.001858400601483799,0.3531043598229939,4.603419869912804,0
gipmnn,2026071102,12000,662.0166883999482,0.001,1.0413694381713867,1.014867901802063,0.026501556858420372,0.0,0.9675911277676955,0.0012478037079938903,0.3120500153783746,3.6417003008399615,0
gipmnn,2026071102,13000,725.3132267999463,0.001,4.814547538757324,4.792641639709473,0.02190600335597992,0.0,0.9679299116142479,0.0008981093990009166,0.27212556523495773,3.175772164538299,0
gipmnn,2026071102,14000,775.5505909000058,0.001,3.0771195888519287,3.060666084289551,0.016453534364700317,0.0,0.9678617182607616,0.0009684989050767733,0.2858282980398976,3.3356864209679022,0
gipmnn,2026071102,15000,825.4749737000093,0.001,0.6270588040351868,0.6101560592651367,0.016902729868888855,0.0,0.9679400690416752,0.0008876248537621977,0.25239252978087934,2.945482795500879,0
gipmnn,2026071102,16000,874.5095748000313,0.001,1.032079815864563,1.0124084949493408,0.019671276211738586,0.0,0.9681476153772749,0.0006733945321274769,0.24899617188893855,2.9058464649535356,0
gipmnn,2026071102,17000,924.684250799939,0.001,1.3520255088806152,1.3311489820480347,0.02087654545903206,0.0,0.9676919759499736,0.001143707731241136,0.26971584933296333,3.1476501882756436,0
gipmnn,2026071102,18000,973.1852774000727,0.001,1.5475636720657349,1.5294502973556519,0.018113398924469948,0.0,0.9681916381694368,0.0006279539952139049,0.25953227997258754,3.028805433346414,0
gipmnn,2026071102,19000,1021.2776446000207,0.001,1.3777072429656982,1.3609046936035156,0.016802512109279633,0.0,0.9682657014429555,0.0005515055295669433,0.22658613834449567,2.644315870886188,0
gipmnn,2026071102,20000,1074.9070441999938,0.001,0.6338996887207031,0.621227502822876,0.012672203592956066,0.0,0.9682958845479795,0.0005203503840012885,0.20815251798940765,2.4291909951149244,0
gipmnn,2026071102,21000,1125.40876869997,0.001,0.7368443608283997,0.7251985669136047,0.011645766906440258,0.0,0.9683825266146607,0.0004309180278068353,0.19445365631646486,2.2693219157462523,0
gipmnn,2026071102,22000,1176.8528179998975,0.001,0.47978487610816956,0.4688423275947571,0.010942552238702774,0.0,0.9683075580032819,0.0005083009875289549,0.1954006564757937,2.2803736401339005,0
gipmnn,2026071102,23000,1230.9326688,0.001,0.5708460211753845,0.5601267218589783,0.010719288140535355,0.0,0.9683732379753082,0.00044050580583384507,0.18184168774534476,2.12213714575372,0
gipmnn,2026071102,24000,1279.6500828000717,0.001,1.6591813564300537,1.6489862203598022,0.010195172391831875,0.0,0.9684167961262116,0.0003955448738526312,0.14544417016493286,1.6973691784722815,0
gipmnn,2026071102,25000,1329.6912380000576,0.001,0.5951334238052368,0.5847744345664978,0.010358997620642185,0.0,0.9684418012119332,0.00036973450461060567,0.1744370358443849,2.0357230399167316,0
gipmnn,2026071102,26000,1379.4069566000253,0.001,1.6474847793579102,1.6374189853668213,0.01006579864770174,0.0,0.968458081849463,0.00035292955257738276,0.1482163684898349,1.729721413614916,0
gipmnn,2026071102,27000,1429.3721233999822,0.001,1.5656147003173828,1.5554851293563843,0.010129621252417564,0.0,0.9682745079745579,0.0005424153854686764,0.15041331767091512,1.7553603500013435,0
gipmnn,2026071102,28000,1477.730515500065,0.001,0.7825196385383606,0.7735359072685242,0.008983731269836426,0.0,0.9682112420923814,0.0006077187320588219,0.12248963311557555,1.505372137871741,0
gipmnn,2026071102,29000,1527.6534196001012,0.001,0.5383996963500977,0.5298088788986206,0.008590813726186752,0.0,0.9683425900304866,0.0004721407612648413,0.1077458647226275,1.2574206974445372,0
gipmnn,2026071102,30000,1576.4126901000272,0.001,0.6217483282089233,0.6131377816200256,0.008610567077994347,0.0,0.9685007558367806,0.00030888125848406147,0.11259950202130305,1.3140638364917263,0
gipmnn,2026071102,31000,1626.2118146999273,0.001,1.3113113641738892,1.3030275106430054,0.008283873088657856,0.0,0.968479981350877,0.00033032478233176155,0.10275828520985142,1.19921441987036,0
gipmnn,2026071102,32000,1673.5646524000913,0.001,0.8314867615699768,0.8232570886611938,0.008229688741266727,0.0,0.9685829446375728,0.0002240455846688903,0.09794464605509322,1.1430380689839093,0
gipmnn,2026071102,33000,1721.1284694999922,0.001,0.7876977920532227,0.78023761510849,0.007460174150764942,0.0,0.9685577458450247,0.00025005589902482676,0.09330237366091985,1.0888616102712148,0
