mesh_n,dofs,lambda,time_s
16,4495,711.6634507302558,28.070008600014262
20,9139,705.9481654140747,50.85368139995262
24,16215,703.1948635232784,92.86191370000233
28,26235,701.7640020525855,145.40094899991527
32,39711,700.9675376324841,282.55407710000145
36,57155,700.4997816332765,447.7469186999988
40,79079,700.2115217236088,740.0277236000002
