variant,N,trials,q,atom_prob,tail_prob,carrier_width,rel_error_median,rel_error_q90,rel_error_min,rel_error_max
original,768,3,3.4,0.1,0.25,0.8,0.001587757443579585,0.0016647146756668407,0.001517338870878344,0.0016839539836886546
original,896,3,3.4,0.1,0.25,0.8,0.001312308120820386,0.001348352134962058,0.0012958112296118673,0.001357363138497476
original,1024,3,3.4,0.1,0.25,0.8,0.0012550390501399348,0.0013443721618115975,0.001237004567581767,0.0013667054397295132
narrow_carrier,768,3,3.4,0.02,0.25,0.25,0.001769111442285073,0.001772571383600668,0.0017637715878053419,0.0017734363689295668
narrow_carrier,896,3,3.4,0.02,0.25,0.25,0.0017776875331002762,0.0017833566737106526,0.001763422245913782,0.0017847739588632467
narrow_carrier,1024,3,3.4,0.02,0.25,0.25,0.0017689829829014008,0.0017930775592963407,0.001729589313572887,0.0017991012033950757
