carrier_family,variant,anchor_degree,N,trials,q,atom_prob,tail_prob,carrier_width,rel_error_median,rel_error_q90,rel_error_min,rel_error_max
harmonic5,h5_tail_015,0,1280,5,3.4,0.02,0.15,2.0,0.0005871439569002308,0.0005972095714159986,0.0005382290885094885,0.0005976171220419031
harmonic5,h5_tail_020,0,1280,5,3.4,0.02,0.2,2.0,0.0006157598571978471,0.0006292651669799858,0.0005913157763587867,0.0006356395047741133
harmonic5,carrier_width_2,0,1280,5,3.4,0.02,0.25,2.0,0.0006602532105237828,0.0007497925673689049,0.0006191732999825551,0.0007727120153637956
