method,seed,evaluation_points,field_max_error,reported_flux_error,representative_flux_error,checkpoint_keff,reported_keff
drm,2026071101,24240,0.026808794989461312,0.02680886937517324,0.02680886937517324,0.9687515954861001,0.9687516094656505
gipmnn,2026071102,24240,0.04429607281983779,0.04429625035923914,0.04429625035923914,0.9688122539000404,0.9688122676869632
pc_gipmnn,2026071103,24240,0.027461200620018524,0.027461192374033796,0.027461192374033796,0.9687223303158731,0.968722315583888
rfm,2026071218,24240,0.006623475567249338,0.006621398788559998,0.006623475567249338,0.968812535703046,0.968812527158434
