N,samples,rank_median,index_success_count,h1_gap_mean,h1_gap_median,h1_gap_q90,eta_f_h1_mean,eta_f_h1_median,eta_f_h1_q90,cluster_relative_error_mean,cluster_relative_error_median,cluster_relative_error_q90,splitting_relative_error_mean,splitting_relative_error_median,splitting_relative_error_q90,lower_external_gap_relative_mean,lower_external_gap_relative_median,lower_external_gap_relative_q90,upper_external_gap_relative_mean,upper_external_gap_relative_median,upper_external_gap_relative_q90,measurement_and_solve_seconds_median
128,20,90.0,20,0.0006836589847686169,0.0006720460088957265,0.0007627444813611011,0.0013732798328101553,0.0013629089858147791,0.0015430838037048498,3.5818431847930634e-07,3.4317945959170617e-07,4.41401509964034e-07,9.04658581167354e-08,7.382106265095407e-08,1.3313271696736688e-07,0.2139570841013266,0.21395707637702904,0.2139572146433308,0.24574280829860712,0.24574278558099438,0.245742936489263,0.08217045001219958
160,20,99.0,20,0.0006091180016533605,0.0006170115426474513,0.0006568705356297326,0.0012266691755726264,0.001212185701562011,0.001401924680783917,2.8559978670336915e-07,2.9136311330514965e-07,3.2882982204993265e-07,6.40780869707885e-08,5.867972204877819e-08,9.829174355159444e-08,0.21395716981416918,0.21395716313162924,0.21395726522491157,0.24574271815575727,0.24574272356592936,0.24574286096662185,0.09558289998676628
216,20,112.0,20,0.0005264704117628315,0.0005206850229142928,0.0005851700406695289,0.0009362954841668966,0.0009308890286137347,0.0010877685278004236,2.161040084434161e-07,2.0993416709659183e-07,2.637722348327931e-07,6.368364829157653e-08,6.187493808461989e-08,1.0339046635237904e-07,0.21395723271584308,0.2139572302620506,0.21395728525378768,0.24574261255569563,0.24574261368977623,0.2457426765371056,0.14803690003463998
288,20,125.0,20,0.00044185204066361794,0.00045149461973213674,0.0005006789675703889,0.0007779864526434645,0.0007706938215600987,0.000878700177859968,1.5447171374542314e-07,1.591823946318673e-07,1.946924997512563e-07,3.4222929865133044e-08,2.5928451695919927e-08,6.470974375669929e-08,0.21395724806547672,0.2139572458311827,0.2139572976547389,0.24574259046529576,0.24574259225975104,0.24574263009550248,0.21205239999108016
384,20,137.5,20,0.0003706462367753207,0.0003703045157255168,0.00044572176883791764,0.0006527197101743081,0.0006464192017622801,0.0007358098344802101,1.104927443547694e-07,1.0803708170887852e-07,1.559822293282688e-07,3.196564948377828e-08,2.6384805911555925e-08,5.724492771083705e-08,0.21395725388530512,0.21395726476489632,0.21395729726074725,0.2457425517620127,0.24574254668514217,0.2457425967025883,0.3653856500168331
512,20,152.0,20,0.00029649599273506486,0.00028500231918552254,0.0003590085821028414,0.0005754929821166497,0.0005731202838881157,0.0006027766491413065,7.143059265736176e-08,6.462189117330692e-08,1.0229009050409363e-07,2.437751173420673e-08,1.9204584932880446e-08,5.246818383867091e-08,0.21395725505595328,0.2139572543158945,0.21395727074158732,0.24574254053437947,0.24574254215945862,0.24574256935093083,0.60754979995545
672,20,164.5,20,0.00025370681407448266,0.000244481793887397,0.0003068126129636544,0.0005282141767956155,0.0005278860892215429,0.0005759194197453745,5.272423520004879e-08,4.7947451079606586e-08,7.504896685873104e-08,1.899488654228944e-08,2.047031444396774e-08,3.086425635699748e-08,0.2139572528313562,0.21395725274470506,0.2139572606099251,0.24574253465724802,0.24574253426800652,0.24574256306198092,0.9218620000174269
896,20,181.5,20,0.00019910646597329419,0.0001977402108126113,0.00024899650294608205,0.00048704591278931437,0.000504476150747657,0.0005213445607651982,3.285437293790869e-08,3.1667234318830974e-08,4.991768529651169e-08,1.0112630995212776e-08,8.078202958167895e-09,1.701769729815505e-08,0.21395725090410167,0.21395724931056093,0.21395726128243578,0.24574253089496137,0.24574253245552324,0.24574254063563508,1.5722234999993816
