variant,N,trials,q,atom_prob,tail_prob,carrier_width,rel_error_median,rel_error_q90,rel_error_min,rel_error_max
lean_original,1024,3,3.4,0.02,0.25,0.8,0.0012148315075821206,0.0012184636161847104,0.0012137714824764852,0.0012193716433353578
carrier_rich,1024,3,3.4,0.02,0.12,1.0,0.0011581437143369172,0.0011680952225841723,0.0011428621256987757,0.0011705830996459861
wide_carrier,1024,3,3.4,0.02,0.25,1.5,0.0011298416311391884,0.0011570518101397989,0.001109046929544027,0.0011638543548899514
broad_carrier,1024,3,3.4,0.02,0.25,2.5,0.0011181978736801693,0.001141295743591548,0.001073426480080204,0.0011470702110693927
