features,retained_rank_median,retained_rank_min,retained_rank_max,lambda_absolute_error_median,lambda_absolute_error_min,lambda_absolute_error_max,energy_absolute_error_median,energy_absolute_error_min,energy_absolute_error_max,pde_residual_rms_median,pde_residual_rms_min,pde_residual_rms_max,wall_seconds_median,wall_seconds_min,wall_seconds_max
128,128.0,127,128,0.0305667689718163,0.0207902366915142,0.0747752322349057,0.0039155861368591,0.0026425964532972,0.0205966167183664,0.027903988176852,0.0214231196415153,0.0611105712672829,0.3548888999503106,0.3047515000216663,0.4008343999739736
256,234.0,228,242,0.0003970201390934,0.0001929162078511,0.0009102915898395,3.889611120655445e-05,1.7484077496021655e-05,7.556877726599964e-05,0.0032404025994101,0.0021891811920293,0.0045250462394684,0.7768949000164866,0.7405928000807762,1.438212800072506
384,300.0,292,311,9.80333468447725e-06,7.591177304533403e-06,2.3369794458716345e-05,1.2196292047406132e-06,1.02559170755967e-06,2.623380025212896e-06,0.0006519015560442,0.0006073719341458,0.0009277489098824,1.4560401001945138,1.2879399999510497,1.939948400016874
512,346.0,329,363,9.064000217051672e-07,8.508244953020494e-07,5.537238763508867e-06,4.3427327067746557e-07,3.27665916621811e-07,7.17652634207866e-07,0.0004048549805515,0.0003541692835121,0.0005225135897049,2.242656299844384,1.5813768999651074,3.051438400056213
768,413.0,392,429,2.743278812999961e-07,1.770072017848179e-07,4.314147048489758e-07,1.4468502484987766e-07,1.2943270277787633e-07,1.981491593028295e-07,0.0002441915195276,0.0002303395816688,0.0002825896036746,3.3572845000308007,3.042579700006172,14.67538379994221
