features,complex_degrees_of_freedom_median,complex_degrees_of_freedom_min,complex_degrees_of_freedom_max,energy_absolute_error_median,energy_absolute_error_min,energy_absolute_error_max,mu1_absolute_error_median,mu1_absolute_error_min,mu1_absolute_error_max,mu2_absolute_error_median,mu2_absolute_error_min,mu2_absolute_error_max,pde_residual_rms_median,pde_residual_rms_min,pde_residual_rms_max,wall_seconds_median,wall_seconds_min,wall_seconds_max
256,492.0,490,506,0.0001820083987986,0.0001442342003752,0.0002233785803227,0.0005466012198507,0.0004844125565277,0.0007294109532907,0.0005678109926474,0.0005044217267098,0.0007566738968947,0.0017538878930042,0.0015888185615369,0.0018962205242415,31.12409220007248,30.18008579988964,31.709262400167063
512,814.0,812,826,1.3924905811535382e-05,1.1100955823906132e-05,1.5898232902600284e-05,3.915418128919157e-05,3.802694626564573e-05,5.07970824763504e-05,4.0751942551153775e-05,3.947049172303707e-05,5.306282377581795e-05,0.0005479779728074,0.0004957173406438,0.0005932371312181,54.10797640006058,53.87241820013151,55.51991060003638
768,1056.0,1054,1066,3.1360088286191967e-06,3.0007930096331847e-06,3.18368422291826e-06,1.316474998169781e-05,1.0289926226647594e-05,1.5227850209242888e-05,1.3763476427897103e-05,1.0735029393416085e-05,1.5938715844043827e-05,0.0002829079236696,0.0002774222277511,0.000286706810577,75.1202343001496,71.09842509985901,78.24533710000105
1024,1230.0,1220,1244,1.1584644177276004e-06,1.1062748974666192e-06,1.3616544656258611e-06,4.815231937627118e-06,2.007193137032459e-06,5.317243159552731e-06,5.03536317886244e-06,2.097452409088873e-06,5.575948557989818e-06,0.0001790514885735,0.0001736246506369,0.0001942361243448,88.75993030006066,85.97663370007649,89.61510190018453
1280,1378.0,1372,1394,4.904125319171726e-07,4.731076312936011e-07,4.993644910911144e-07,1.1219373856619086e-06,1.0172190929580438e-06,1.413317320952956e-06,1.1857991175645566e-06,1.085707122427948e-06,1.478768162144206e-06,0.0001184870043927,0.0001154944682592,0.0001201645110693,102.03188190003856,88.06459249998443,110.442105300026
1536,1494.0,1494,1500,3.265992276624275e-07,3.2260814997187026e-07,3.571883073760773e-07,1.8254980211906968e-06,1.691076949583703e-06,2.113847362039678e-06,1.9122559891116e-06,1.7627061872360628e-06,2.225203088457306e-06,0.0001020854346985,0.0001002549248289,0.0001056252406688,114.15270159998909,113.29060629988088,120.53328080009668
