subdivisions,epsilon,unknowns,lambda,energy,lambda_abs_error,energy_abs_error,lambda_abs_error_to_lu_zhai_table7,energy_abs_error_to_lu_zhai_table7,converged,wall_seconds
16.0,0.0,2272,16.613240181430697,5.830365998228874,0.016754931069304,0.0202211152711253,0.0163288185693026,0.0197300017711254,True,0.1428778995759785
16.0,0.0,2272,16.613240181430697,5.830365998228874,0.016754931069304,0.0202211152711253,0.0163288185693026,0.0197300017711254,True,0.1678386996500194
16.0,0.0,2272,16.613240181430697,5.830365998228874,0.016754931069304,0.0202211152711253,0.0163288185693026,0.0197300017711254,True,0.1673026997596025
16.0,0.0,2272,16.613240181430697,5.830365998228874,0.016754931069304,0.0202211152711253,0.0163288185693026,0.0197300017711254,True,0.16686060000211
16.0,0.0,2272,16.613240181430697,5.830365998228874,0.016754931069304,0.0202211152711253,0.0163288185693026,0.0197300017711254,True,0.1692762998864054
32.0,0.0,9152,16.624031369039677,5.843679092737743,0.0059637434603239,0.0069080207622569,0.0055376309603225,0.006416907262257,True,0.5925352000631392
32.0,0.0,9152,16.624031369039677,5.843679092737743,0.0059637434603239,0.0069080207622569,0.0055376309603225,0.006416907262257,True,0.5870837001129985
32.0,0.0,9152,16.624031369039677,5.843679092737743,0.0059637434603239,0.0069080207622569,0.0055376309603225,0.006416907262257,True,0.5780651001259685
32.0,0.0,9152,16.624031369039677,5.843679092737743,0.0059637434603239,0.0069080207622569,0.0055376309603225,0.006416907262257,True,0.5959638999775052
32.0,0.0,9152,16.624031369039677,5.843679092737743,0.0059637434603239,0.0069080207622569,0.0055376309603225,0.006416907262257,True,0.593085799831897
64.0,0.0,36736,16.62834263289686,5.848678897740637,0.0016524796031411,0.0019082157593626,0.0012263671031398,0.0014171022593627,True,2.4757354999892414
64.0,0.0,36736,16.62834263289686,5.848678897740637,0.0016524796031411,0.0019082157593626,0.0012263671031398,0.0014171022593627,True,2.484304599929601
64.0,0.0,36736,16.62834263289686,5.848678897740637,0.0016524796031411,0.0019082157593626,0.0012263671031398,0.0014171022593627,True,2.4001311999745667
64.0,0.0,36736,16.62834263289686,5.848678897740637,0.0016524796031411,0.0019082157593626,0.0012263671031398,0.0014171022593627,True,2.422145100310445
64.0,0.0,36736,16.62834263289686,5.848678897740637,0.0016524796031411,0.0019082157593626,0.0012263671031398,0.0014171022593627,True,2.4433180000633
128.0,0.0,147200,16.629568870869527,5.850096130525031,0.0004262416304747,0.0004909829749681,1.2913047342522077e-07,1.305250316718798e-07,True,12.914056800305843
128.0,0.0,147200,16.629568870869527,5.850096130525031,0.0004262416304747,0.0004909829749681,1.2913047342522077e-07,1.305250316718798e-07,True,12.97708830004558
128.0,0.0,147200,16.629568870869527,5.850096130525031,0.0004262416304747,0.0004909829749681,1.2913047342522077e-07,1.305250316718798e-07,True,13.013413900043815
128.0,0.0,147200,16.629568870869527,5.850096130525031,0.0004262416304747,0.0004909829749681,1.2913047342522077e-07,1.305250316718798e-07,True,13.253245499916376
128.0,0.0,147200,16.629568870869527,5.850096130525031,0.0004262416304747,0.0004909829749681,1.2913047342522077e-07,1.305250316718798e-07,True,13.212923199869692
