potential,eigen_index,lambda_ref,drm_epoch,drm_time_s,drm_lambda,drm_rel_error,drm_final_epoch,drm_stop_reason,drm_orthogonality_penalty,drm_stationarity_residual,rfm_size,rfm_rank,rfm_lambda,rfm_rel_error,rfm_integration_points,drm_validation_interior_points
square,1,151.00174383907776,147000,2735.77014909999,147.17868547116987,0.025317974949892734,167000,validation_loss_plateau_at_minimum_learning_rate,0.0,4.03448288174478e-07,512,200.0,150.88103555871731,0.0007993833534073951,200000,200000
square,2,181.89487396569749,130000,2649.459644800023,177.226760203026,0.025663800528825317,150000,validation_loss_plateau_at_minimum_learning_rate,1.3970082315106896e-05,9.543091422040432e-05,512,200.0,181.77180886656774,0.0006765726622563028,200000,200000
square,3,181.89487396569749,155000,3425.5229300000065,176.73541422434135,0.02836506400025942,175000,validation_loss_plateau_at_minimum_learning_rate,9.778388868738541e-06,6.744150470383934e-05,512,200.0,182.0753229531528,0.0009920509771449144,200000,200000
exp,1,145.07515814545604,185000,3355.795450900012,141.03443594913676,0.027852612728279425,205000,validation_loss_plateau_at_minimum_learning_rate,0.0,1.446377595656849e-07,512,203.0,145.56298037301906,0.0033625483080563807,200000,200000
exp,2,175.80339245481804,164000,3397.9596712000202,171.5009197279717,0.024473206499425658,184000,validation_loss_plateau_at_minimum_learning_rate,1.519840696178126e-05,6.74607538988088e-05,512,203.0,175.08752411486137,0.004071982513879255,200000,200000
exp,3,175.80339245481804,142000,3264.663100900012,170.9578212418806,0.027562444303700046,162000,validation_loss_plateau_at_minimum_learning_rate,0.0010190348399391322,0.004539329167753267,512,203.0,175.45961417124724,0.001955470134964268,200000,200000
