potential,mode,lambda_ref,lambda_stored,lambda_uniform,lambda_beta22,rel_error_stored,rel_error_uniform,rel_error_beta22,uniform_reproduces_stored,quadrature_points,scramble_seed,checkpoint,selected_epoch,training_seconds
square,1,151.00174063238603,147.17868547116987,147.1786862374135,147.53650837001933,0.02531795425142412,0.025317949177021487,0.022948293495522087,5.2062133037165305e-09,200000,203508,square_mode1.pt,147000,2735.77014909999
square,2,181.8948678598285,177.226760203026,177.22676286850808,178.02905317809615,0.025663767822189647,0.02566375316821891,0.02125301679600673,1.5039952592109282e-08,200000,203508,square_mode2.pt,130000,2649.459644800023
square,3,181.8948678598285,176.73541422434135,176.73541448235503,178.9201883229916,0.02836503138430009,0.02836502996582318,0.016353839840765844,1.4598866447075328e-09,200000,203508,square_mode3.pt,155000,3425.5229300000065
exp,1,145.07515483152002,141.03443594913676,141.0344375586714,142.4440494490676,0.027852590521622145,0.02785257942713356,0.018136154226462906,1.141235215873691e-08,200000,203457,exp_mode1.pt,185000,3355.795450900012
exp,2,175.80338618933638,171.5009197279717,171.50092304950815,171.7485966867569,0.02447317173248877,0.024473152839016285,0.02306434244794664,1.936745555032318e-08,200000,203457,exp_mode2.pt,164000,3397.9596712000202
exp,3,175.80338618933638,170.9578212418806,170.95782557862293,171.77810551127848,0.02756240964686094,0.02756238497872212,0.022896491161568173,2.5367323380734803e-08,200000,203457,exp_mode3.pt,142000,3264.663100900012
