mesh_width,grid_size,complex_degrees_of_freedom,energy,mu1,mu2,virial_residual,fixed_point_residual,iterations,wall_seconds,published_energy_error,published_mu1_error,published_mu2_error,published_virial_residual
1.0,32,2048,8.372087814079254,12.303063585997768,12.490164713960192,0.029310296496404105,9.99093217332146e-12,9542,23.294695499818772,0.00061494,0.0054,0.0057,0.0293
0.5,64,8192,8.372702573064387,12.29765741236093,12.484472856514103,2.8138962930478878e-05,9.995004374599653e-12,9452,58.37733230018057,6.9304e-07,3.411e-06,3.5881e-06,2.8138e-05
0.25,128,32768,8.372703266188896,12.29765400165823,12.484469268766208,9.399819811406473e-11,9.995493467957468e-12,9454,343.88163620000705,9.0594e-14,5.6914e-12,5.9934e-12,1.9971e-11
