N,sample,seed,order_per_subinterval,rank,h1_gap,eta_f_h1,cluster_relative_error,splitting_relative_error,lower_external_gap_relative,upper_external_gap_relative,maximum_coordinate_frequency,measurement_and_solve_seconds,index_success,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
128,10,2032097546,512,96,0.0005842915593281924,0.0011691528680417623,2.639430048556861e-07,3.0505045061989284e-08,0.21395697977670808,0.2457428338639082,53.960499895282716,0.08379109995439649,1,35.91531285565537,67.99129351176363,67.9913133902067,100.06729197088589,117.84176157499095,117.84179541020451,149.91773336908147,149.91773794232762,186.75893798676492,186.75896173477452
128,11,2032097547,512,88,0.0006574443134292128,0.0014065033724265552,3.286906403262991e-07,1.2415063581840684e-07,0.2139570087499539,0.24574277233501382,38.93870299341969,0.08060250000562519,1,35.91532756714544,67.9913022754709,67.99133508551114,100.06729542349386,117.84177904144703,117.84178673428724,149.91772903676653,149.9177476491441,186.75893846931118,186.75912213784713
128,12,2032097548,512,88,0.0007728358023716745,0.00134114316201079,4.5429686822477936e-07,1.289185741905548e-07,0.21395706510630744,0.2457427775154828,69.88776874583955,0.077715800027363,1,35.91532074901075,67.99130529547546,67.9913480833275,100.06730371744764,117.84178936626778,117.84179640127067,149.91774715256477,149.9177664797407,186.75895807655175,186.75899501244552
128,13,2032097549,512,91,0.0006694602216787446,0.001170365886906088,3.4157192401325485e-07,1.2386084633487262e-07,0.21395705680576677,0.2457429301471302,34.760700104935026,0.07697829999960959,1,35.915312902761706,67.99129910852571,67.99133038036518,100.06728914787527,117.84175885628768,117.84178150444735,149.9177310113435,149.9177495802765,186.75896405927284,186.75904175708868
128,14,2032097550,512,86,0.0008613469921328895,0.0017096540756643642,5.543531333005532e-07,2.6998700790092875e-07,0.21395697332631033,0.24574284976210617,37.86572500201077,0.08117789996322244,1,35.91534972966645,67.99131372570598,67.99133950754174,100.06729303131424,117.84177727756523,117.84180401226666,149.91774100411484,149.91778147994566,186.7589839078042,186.75917528167844
128,15,2032097551,512,91,0.0006726413475773411,0.0013380695211277576,3.432207345495441e-07,3.7978850578322356e-08,0.21395715202920826,0.24574279274526212,33.091164135978204,0.07408029993530363,1,35.91532574896534,67.99130617969834,67.99131761952246,100.06729665521016,117.84175930433322,117.8417803511852,149.91774413376052,149.9177498274624,186.7589437074869,186.75900007238442
128,16,2032097552,512,97,0.0006738367432926902,0.001348271787358462,3.4563991908135967e-07,1.0133400963569975e-07,0.2139572160349295,0.24574270373797236,120.80923853786435,0.07872499991208315,1,35.91532713294368,67.99130392617217,67.99131045697526,100.06728434839931,117.84174468738964,117.84176162021373,149.91773499837947,149.91775019014096,186.75893072639747,186.75895912495363
128,17,2032097553,512,88,0.0006727959598767801,0.0013775461842710963,3.4372767950216895e-07,7.417239114193863e-08,0.21395708764775068,0.24574275888884073,31.80862556413751,0.0748941000783816,1,35.915320943382625,67.99130459600664,67.99132293131484,100.06728333985396,117.84176254383702,117.84178465305285,149.91773878370824,149.9177499034624,186.75893870781016,186.75906910970767
128,18,2032097554,512,96,0.0006368548722294579,0.0013339432813758547,3.0885249292841667e-07,1.2682290844886296e-07,0.21395714796881402,0.24574275149632802,52.833700210045535,0.07899650000035763,1,35.9153211463477,67.99132266111017,67.99132592528457,100.06729588210048,117.8417493787443,117.8417624882058,149.91772566205617,149.9177446750547,186.75893237113397,186.75894548720836
128,19,2032097555,512,86,0.0006448869920350191,0.0015418936637290092,3.165997952441315e-07,6.801335139539791e-08,0.21395701990987948,0.24574283865219157,29.95065018640425,0.07340440002735704,1,35.915336976284586,67.9913031283883,67.99131223632536,100.06728635097213,117.84176447155315,117.84179166455769,149.91773564010734,149.91774583651244,186.75894659879816,186.7590000993461
160,0,2032101920,512,104,0.0005941501137210061,0.0013057133524548312,2.7089436556751003e-07,4.8286828410914297e-08,0.2139572217915991,0.2457425482746866,47.74674903855139,0.09731300000566989,1,35.91532435940729,67.9912906114965,67.99130418091939,100.06729011214867,117.84174997023997,117.84175750421704,149.91773174540944,149.91773898445962,186.75889621401814,186.75891557380157
160,1,2032101921,512,99,0.0005417271620392247,0.0010776190054747016,2.2696862707183956e-07,4.87053318054917e-08,0.21395714610545827,0.24574275368944218,27.739943896525624,0.09284489997662604,1,35.91531202137693,67.99129019934409,67.9912995614179,100.06728322160978,117.84173369149401,117.8417622029224,149.91772509742276,149.917732399214,186.7589204240799,186.7589355575331
160,2,2032101922,512,100,0.0006202974180689512,0.001432708815782371,2.9454887421901e-07,1.1439761137788563e-07,0.21395711516216037,0.2457426291570709,72.70131700595611,0.09624059998895973,1,35.91533189932963,67.99130036427421,67.99130540499563,100.06728905549814,117.84174927449847,117.84176712491015,149.9177253804625,149.9177425306891,186.75891188594852,186.75894406499677
160,3,2032101923,512,103,0.0005825430261640769,0.0009744390385383762,2.5979418696467504e-07,9.597467962651763e-08,0.21395712616003526,0.24574251800061678,42.08170291047161,0.09349160001147538,1,35.91530474327304,67.99128276094038,67.99131036780324,100.06728519801243,117.84174157791843,117.84176302771486,149.91772293204332,149.9177373203464,186.75889001128604,186.75897532558062
160,4,2032101924,512,97,0.0006130393181337462,0.0012980773926405426,2.8641850102073463e-07,2.1183417303880305e-08,0.21395700453051023,0.24574275640806403,35.93842697693155,0.08947930007707328,1,35.91532164175318,67.99130829865958,67.99131234230667,100.06730044372567,117.84174752118106,117.8417964661231,149.9177381360331,149.91774131180227,186.7589297442377,186.75893913078758
