problem,dim,potential,potential_scale,law,q,rho_used,N,rank,mass_cond_after_trunc,mass_truncation_tolerance,trial,seed,eigen_index,lambda_rfm,lambda_ref,rel_error,quad_order,assembly,integration_points,integration_scramble_seed,integration_backend,integration_dtype,integration_density,assembly_s,solve_s,total_s,omega_norm_max,boundary_factor,note
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,128,102,98406.42195820464,1e-05,4,20989191,1,150.3948405173318,151.00174383907776,0.004019180880405832,,qmc,200000,203508,torch,float64,uniform,0.13881029980257154,0.008968499954789877,0.1477787997573614,6.485183305991554,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,128,102,98406.42195820464,1e-05,4,20989191,2,179.49456689110346,181.89487396569749,0.013196122695830807,,qmc,200000,203508,torch,float64,uniform,0.13881029980257154,0.008968499954789877,0.1477787997573614,6.485183305991554,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,128,102,98406.42195820464,1e-05,4,20989191,3,180.7846787627834,181.89487396569749,0.006103499118526365,,qmc,200000,203508,torch,float64,uniform,0.13881029980257154,0.008968499954789877,0.1477787997573614,6.485183305991554,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,256,150,97693.66525494604,1e-05,0,21116803,1,150.03311363110222,151.00174383907776,0.006414695508469118,,qmc,200000,203508,torch,float64,uniform,0.43268110044300556,0.046520999632775784,0.47920210007578135,8.38964724225535,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,256,150,97693.66525494604,1e-05,0,21116803,2,178.3206325971384,181.89487396569749,0.019650039006778895,,qmc,200000,203508,torch,float64,uniform,0.43268110044300556,0.046520999632775784,0.47920210007578135,8.38964724225535,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,256,150,97693.66525494604,1e-05,0,21116803,3,179.28057061037728,181.89487396569749,0.014372605991157396,,qmc,200000,203508,torch,float64,uniform,0.43268110044300556,0.046520999632775784,0.47920210007578135,8.38964724225535,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,256,144,95405.48057131798,1e-05,1,21116900,1,150.18021728121596,151.00174383907776,0.005440510400577233,,qmc,200000,203508,torch,float64,uniform,0.44298999989405274,0.04164609964936972,0.48463609954342246,7.834292017065299,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,256,144,95405.48057131798,1e-05,1,21116900,2,177.96983657411545,181.89487396569749,0.021578603651701795,,qmc,200000,203508,torch,float64,uniform,0.44298999989405274,0.04164609964936972,0.48463609954342246,7.834292017065299,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,256,144,95405.48057131798,1e-05,1,21116900,3,179.97155024514004,181.89487396569749,0.010573820353618963,,qmc,200000,203508,torch,float64,uniform,0.44298999989405274,0.04164609964936972,0.48463609954342246,7.834292017065299,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
Ji2024 cube square,10,square,20.0,blind-tail,8.0,2.0,256,153,98879.09624315826,1e-05,2,21116997,1,150.16748164490784,151.00174383907776,0.005524851388862072,,qmc,200000,203508,torch,float64,uniform,0.43839359981939197,0.043963899835944176,0.48235749965533614,7.826979895701661,prod_i x_i(1-x_i),No exact eigenfunction Fourier frequencies are used; omega is sampled from blind polynomial-tail or coefficient-scale polynomial-tail law.
