density,potential,features,points_per_scramble,feature_seed,scramble_seed_1,scramble_seed_2,rank_1,rank_2,lambda1_scramble_discrepancy,lambda2_scramble_discrepancy,lambda3_scramble_discrepancy,maximum_scramble_discrepancy,mass_truncation_tolerance,worst_discrepancy_over_potentials,selected
uniform,square,256,200000,21116803,203508,308237,150,150,0.011485459049733493,0.004463956801529567,0.0017156800049095951,0.011485459049733493,1e-05,0.02525900061144881,0
uniform,exp,256,200000,20816803,203457,308186,151,151,0.001202628457377129,0.02525900061144881,0.004618236556043604,0.02525900061144881,1e-05,0.02525900061144881,0
beta22,square,256,200000,21116803,203508,308237,150,150,0.0027135420950508407,0.0036447380897464687,0.002197183471498455,0.0036447380897464687,1e-05,0.005279032839446859,1
beta22,exp,256,200000,20816803,203457,308186,152,152,0.005279032839446859,0.0017895071111875243,0.002336754939491677,0.005279032839446859,1e-05,0.005279032839446859,1
beta33,square,256,200000,21116803,203508,308237,150,150,0.007458651672790473,0.00011674529320399148,0.0016232183158956207,0.007458651672790473,1e-05,0.007458651672790473,0
beta33,exp,256,200000,20816803,203457,308186,151,152,0.004134557055698965,0.0004576789560815945,0.0014530119174392757,0.004134557055698965,1e-05,0.007458651672790473,0
