kind,mode,epoch,seconds,learning_rate,paper_budget_reached,eps1_train,lambda_ref,lambda_eps,lambda_domain,lambda_stabilized,relerr_eps,relerr_domain,relerr_stabilized,stationarity_rel,admissible,loss,a_eps,domain_energy,mass,boundary_integral,orth_penalty,rayleigh_eps,rayleigh_domain,norm
square,1,1,0.34956389997387305,0.001,0,2000.0,151.00174063238603,2309.8779546306423,82.89221881592046,409.51858537673957,14.297028663093652,0.4510512364375872,1.7120123494053832,0.8227098602522387,1,723.896369070934,1363.940002257385,48.94631462768556,0.5904814146232604,0.6574968438148497,0.0,2309.8779546306423,82.89221881592046,0.7684278851156173
square,1,1000,17.060868399974424,0.001,0,2000.0,151.00174063238603,238.76911463464532,142.4920175075301,392.28812814712524,0.5812341873325096,0.056355132657529144,1.5979046764907914,0.6429600987019967,1,111.0239066689308,145.10282559527394,86.59409068359373,0.6077118718528748,0.029254367455840112,0.0,238.76911463464532,142.4920175075301,0.7795587674145387
square,1,2000,34.72608009999385,0.001,0,2000.0,151.00174063238603,210.16282854323603,158.44783787700993,451.3390211105347,0.39179076786192657,0.049311333852445016,1.9889656849010784,1.1475682652305108,1,108.5807996116093,115.30814323471074,86.93414583251956,0.5486609788894653,0.014186998701095585,0.0,210.16282854323603,158.44783787700993,0.7407165307251252
square,1,3000,52.53727869997965,0.001,0,2000.0,151.00174063238603,188.70660070687507,159.99047473703905,447.2330826187132,0.249698181733425,0.0595273542345191,1.961774352704336,1.3699917275994857,1,102.15974052827954,104.3107659622407,88.43744153076172,0.5527669173812868,0.00793666221573949,0.0,188.70660070687507,159.99047473703905,0.7434829637465049
square,1,4000,70.34224359999644,0.001,0,2000.0,151.00174063238603,248.33215440888455,152.4998475090382,343.81004177093524,0.644564846530144,0.009921123229296518,1.2768614476302051,0.3844765394530592,1,111.02786921988286,162.95306602849962,100.06886856689454,0.6561899582290648,0.03144209873080254,0.0,248.33215440888455,152.4998475090382,0.8100555278677288
square,1,5000,86.28071559997625,0.001,0,2000.0,151.00174063238603,196.29623111853604,149.52472842642118,-54.664553756714085,0.2999600554037289,0.009781425033772577,1.3620127392424901,1.278479894622654,1,104.260391857733,207.02667699675564,157.69843098144534,1.054664553756714,0.024664123007655147,0.0,196.29623111853604,149.52472842642118,1.0269686235502593
square,1,6000,101.93058879999444,0.001,0,2000.0,151.00174063238603,221.95655538156538,152.16520061883878,357.09154197692874,0.4698940187843195,0.007704944205147908,1.3648173887363897,0.6088353027602762,1,103.22746572210247,142.69774676847462,97.82829449462893,0.6429084580230713,0.02243472613692284,0.0,221.95655538156538,152.16520061883878,0.8018157257269724
square,1,7000,117.8093724999926,0.001,0,2000.0,151.00174063238603,182.19967699919908,149.0592254718568,29.90509717941292,0.20660646848280032,0.012864190521209263,0.8019552817459441,0.8358663545844576,1,88.59906768556772,176.75097795248038,144.60159484863289,0.9700949028205871,0.016074691551923752,0.0,182.19967699919908,149.0592254718568,0.9849339586086913
square,1,8000,133.18997439998202,0.001,0,2000.0,151.00174063238603,176.58393629656936,153.17593389070444,-135.5255600357057,0.1694165614054955,0.014398464873404921,1.8975099192110827,1.7674852134233383,0,104.84958093398357,200.5155731564713,173.9351881152344,1.1355255600357057,0.01329019252061844,0.0,176.58393629656936,153.17593389070444,1.0656104166325073
square,1,9000,148.53342369999154,0.001,0,2000.0,151.00174063238603,172.90691069515753,153.68732743262362,198.9842836952207,0.14506567918378951,0.017785138032121447,0.31776152289295956,0.15081741322669703,1,79.14926275168908,138.50115292452813,123.10596467041016,0.8010157163047793,0.007697594127058982,0.0,172.90691069515753,153.68732743262362,0.8949948135630615
square,1,10000,163.68366389998118,0.001,0,2000.0,151.00174063238603,168.31460549987307,149.02168711898074,93.79943794250455,0.11465341256982747,0.013112786018975359,0.37881882983813125,0.44271361558949623,1,78.46297869281774,152.5267901064706,135.04353662597657,0.9062005620574954,0.008741626740247012,0.0,168.31460549987307,149.02168711898074,0.9519456717993393
square,1,11000,182.45214739997755,0.001,0,2000.0,151.00174063238603,162.1228964786022,146.50885777986036,101.25813928604155,0.07364918973543914,0.0297538480928084,0.3294240260941452,0.3754235738108336,1,75.41661951567555,145.7066336455154,131.6736434521484,0.8987418607139585,0.007016495096683504,0.0,162.1228964786022,146.50885777986036,0.9480199685206839
square,1,12000,200.17574459998286,0.001,0,2000.0,151.00174063238603,186.07317687550213,150.17377368813354,96.02157102584819,0.23225848984415062,0.005483161589959294,0.3641028863394837,0.4839580178173971,1,86.40810457864094,168.2061381061459,135.75385201171878,0.9039784289741518,0.016226143047213554,0.0,186.07317687550213,150.17377368813354,0.9507778021042308
square,1,13000,216.9745262999786,0.001,0,2000.0,151.00174063238603,166.68394573036062,144.90904082207433,-65.41668872833206,0.10385446573197418,0.0403485402538795,1.43321811029708,1.3924594443795721,1,89.86376455315177,177.5878575242138,154.38851043945314,1.065416688728332,0.011599673542380333,0.0,166.68394573036062,144.90904082207433,1.0321902386325557
