N,samples,rank_median,index_success_count,h1_gap_mean,h1_gap_median,h1_gap_q90,eta_f_h1_mean,eta_f_h1_median,eta_f_h1_q90,cluster_relative_error_mean,cluster_relative_error_median,cluster_relative_error_q90,splitting_relative_error_mean,splitting_relative_error_median,splitting_relative_error_q90,lower_external_gap_relative_mean,lower_external_gap_relative_median,lower_external_gap_relative_q90,upper_external_gap_relative_mean,upper_external_gap_relative_median,upper_external_gap_relative_q90,measurement_and_solve_seconds_median
128,100,91.0,100,0.0006716897650635791,0.0006676804592867,0.0007336246907128501,0.0013771010273224875,0.0013934336874759,0.00160306112200167,3.457973724056912e-07,3.397013914494677e-07,4.077723039273161e-07,7.163745240699726e-08,5.367191561054332e-08,1.5572292001776493e-07,0.21395708497797525,0.21395708427965,0.21395719081712875,0.24574285684713068,0.2457428194564436,0.24574311148853256,0.08068660000571976
160,100,100.0,100,0.0006051259812384101,0.00061481721973435,0.00065573234909096,0.001151018716506414,0.00116618743031225,0.0013593739310462302,2.8193644073716107e-07,2.8930910339169913e-07,3.2781024259681126e-07,5.945315709916732e-08,5.526207542240599e-08,9.593013837794201e-08,0.21395717698962882,0.21395718278036924,0.21395727628168298,0.24574272147729073,0.24574271081527388,0.24574286546886456,0.09876449999865139
216,100,113.0,100,0.000523488056639545,0.00052148088104575,0.00059702476718749,0.0009327611512185969,0.00093596690156865,0.00111483244347487,2.1394664041480968e-07,2.106693306755107e-07,2.7298256554784295e-07,5.700786449838695e-08,5.2731653224639474e-08,1.0000854698128702e-07,0.21395723116044243,0.21395722900973135,0.21395728751773305,0.24574261674913725,0.24574261854418694,0.24574272345577453,0.14611880003940309
288,100,124.0,100,0.0004527496405516081,0.00045325283372949995,0.00050912914282416,0.0007621284910027631,0.0007482318958924,0.0008783791588314201,1.6171428342145594e-07,1.604446383919985e-07,2.0152109116364238e-07,4.702131683580553e-08,4.574772515480843e-08,7.88728835460325e-08,0.21395724226732374,0.2139572412454255,0.21395728267927128,0.24574257581537473,0.24574257585843706,0.24574263860493778,0.21291240002028639
384,100,137.0,100,0.00036937142104688097,0.0003767070508008,0.00042423253129582003,0.0006424873346649331,0.0006344304956201,0.0007177258155988901,1.0927989667065636e-07,1.1213886959357038e-07,1.4172359848490725e-07,3.1025697652283445e-08,2.6256222243403267e-08,5.4665582870907385e-08,0.2139572546641933,0.21395725584967307,0.21395728219543486,0.24574255264658798,0.24574255461416675,0.24574260302737233,0.35752545000286773
512,100,152.0,100,0.00030824141730928403,0.0003069890362954,0.00037124998804230003,0.000567520706702765,0.0005631074690296499,0.0006232153164221202,7.697747515700319e-08,7.511405036862482e-08,1.0908238073936173e-07,2.6404572344222884e-08,2.5378312172082834e-08,4.848866466192864e-08,0.21395725893665665,0.21395725877488825,0.2139572772190782,0.24574253281039887,0.24574253431377924,0.24574256792578464,0.5931048999773338
672,100,165.5,100,0.00024400459349262503,0.000236788639279,0.00030738621025532003,0.0005279428866498651,0.00052931567562325,0.00056962774062703,4.923565967754358e-08,4.517287720860371e-08,7.535448181578572e-08,1.5795126021082293e-08,1.3810252763008298e-08,3.186878869920536e-08,0.21395725490567868,0.21395725389423084,0.2139572687843065,0.245742533739874,0.2457425304315733,0.245742555642998,0.9018217000411823
896,100,181.0,100,0.00019000194431054802,0.00019111678409754998,0.00022656389076974,0.0004887390759011109,0.00049806795133825,0.0005334815691298099,2.985994744485687e-08,2.964630192877099e-08,4.1488119286545623e-08,9.726655201384006e-09,9.23747729570325e-09,1.6295578919193554e-08,0.21395724929831328,0.2139572488039843,0.21395725656955913,0.24574253354912387,0.24574253310437782,0.2457425501626502,1.5516653500380926
