variant,anchor_degree,N,trials,q,atom_prob,tail_prob,carrier_width,rel_error_median,rel_error_q90,rel_error_min,rel_error_max
broad_carrier,0,768,3,3.4,0.02,0.25,2.5,0.0013705321272949789,0.0014194989519618797,0.0013525750536066631,0.001431740658128605
broad_carrier,0,1280,3,3.4,0.02,0.25,2.5,0.0009668034331209454,0.0009673468796190254,0.0009393930013045485,0.0009674827412435454
