group,order_per_subinterval,N,samples,rank_median,index_success_count,h1_gap_mean,h1_gap_median,h1_gap_q90,eta_f_h1_mean,eta_f_h1_median,eta_f_h1_q90,cluster_relative_error_mean,cluster_relative_error_median,cluster_relative_error_q90,splitting_relative_error_mean,splitting_relative_error_median,splitting_relative_error_q90,lower_external_gap_relative_mean,lower_external_gap_relative_median,lower_external_gap_relative_q90,upper_external_gap_relative_mean,upper_external_gap_relative_median,upper_external_gap_relative_q90,measurement_and_solve_seconds_median
calibration,256,288,20,125.0,20,0.0004418520070237784,0.00045149463058483574,0.000500678764303257,0.0007779863806049982,0.0007706938094295395,0.0008787003250003904,1.544716894504793e-07,1.5918243984719394e-07,1.9469258383090979e-07,3.422294032058488e-08,2.5928688199567593e-08,6.470992619153708e-08,0.21395724806543143,0.21395724583091658,0.21395729765472118,0.24574259046525415,0.2457425922596806,0.2457426300955283,0.12797264999244362
calibration,256,384,20,137.5,20,0.00037064622418886027,0.0003703044141691802,0.0004457218396690893,0.0006527196483784971,0.0006464191466954592,0.0007358098874422042,1.1049275813738679e-07,1.0803700303231435e-07,1.5598231644123562e-07,3.1965660849224116e-08,2.6384790839780383e-08,5.7244985685037816e-08,0.2139572538852835,0.2139572647648889,0.21395729726066834,0.24574255176203336,0.24574254668519319,0.2457425967027077,0.22518604999640957
calibration,256,512,20,152.0,20,0.0002964959598649204,0.0002850022956628654,0.00035900837697437925,0.0005754929650469471,0.0005731202851278698,0.0006027765902955525,7.143057853349663e-08,6.462188463272507e-08,1.0228994587192305e-07,2.4377506416429322e-08,1.920455696952331e-08,5.2468178625163646e-08,0.21395725505594915,0.21395725431592177,0.21395727074157675,0.24574254053438396,0.2457425421594837,0.2457425693509218,0.37391680001746863
calibration,256,672,20,164.5,20,0.00025370680503985956,0.00024448173514784457,0.00030681260620832974,0.0005282141802947189,0.000527886084192745,0.0005759194214679329,5.272422940831618e-08,4.7947430130786497e-08,7.504894922759738e-08,1.899488112024189e-08,2.04702993721922e-08,3.086428614034261e-08,0.21395725283135875,0.21395725274471655,0.21395726060993264,0.24574253465726542,0.24574253426805048,0.2457425630619907,0.5806670499732718
calibration,256,896,20,181.5,20,0.0001991064653035837,0.0001977401976744427,0.000248996511678212,0.00048704591562232137,0.0005044761619016652,0.000521344558023714,3.285436932637001e-08,3.1667230906353486e-08,4.991766419602593e-08,1.0112632767805247e-08,8.078208740421405e-09,1.7017705071020426e-08,0.21395725090409767,0.21395724931055315,0.21395726128243386,0.24574253089496967,0.24574253245552463,0.2457425406356532,1.005854349990841
calibration,512,128,20,90.0,20,0.0006836589847686169,0.0006720460088957265,0.0007627444813611011,0.0013732798328101553,0.0013629089858147791,0.0015430838037048498,3.5818431847930634e-07,3.4317945959170617e-07,4.41401509964034e-07,9.04658581167354e-08,7.382106265095407e-08,1.3313271696736688e-07,0.2139570841013266,0.21395707637702904,0.2139572146433308,0.24574280829860712,0.24574278558099438,0.245742936489263,0.08217045001219958
calibration,512,160,20,99.0,20,0.0006091180016533605,0.0006170115426474513,0.0006568705356297326,0.0012266691755726264,0.001212185701562011,0.001401924680783917,2.8559978670336915e-07,2.9136311330514965e-07,3.2882982204993265e-07,6.40780869707885e-08,5.867972204877819e-08,9.829174355159444e-08,0.21395716981416918,0.21395716313162924,0.21395726522491157,0.24574271815575727,0.24574272356592936,0.24574286096662185,0.09558289998676628
calibration,512,216,20,112.0,20,0.0005264704117628315,0.0005206850229142928,0.0005851700406695289,0.0009362954841668966,0.0009308890286137347,0.0010877685278004236,2.161040084434161e-07,2.0993416709659183e-07,2.637722348327931e-07,6.368364829157653e-08,6.187493808461989e-08,1.0339046635237904e-07,0.21395723271584308,0.2139572302620506,0.21395728525378768,0.24574261255569563,0.24574261368977623,0.2457426765371056,0.14803690003463998
calibration,512,288,20,125.0,20,0.00044185204066361794,0.00045149461973213674,0.0005006789675703889,0.0007779864526434645,0.0007706938215600987,0.000878700177859968,1.5447171374542314e-07,1.591823946318673e-07,1.946924997512563e-07,3.4222929865133044e-08,2.5928451695919927e-08,6.470974375669929e-08,0.21395724806547672,0.2139572458311827,0.2139572976547389,0.24574259046529576,0.24574259225975104,0.24574263009550248,0.21205239999108016
calibration,512,384,20,137.5,20,0.0003706462367753207,0.0003703045157255168,0.00044572176883791764,0.0006527197101743081,0.0006464192017622801,0.0007358098344802101,1.104927443547694e-07,1.0803708170887852e-07,1.559822293282688e-07,3.196564948377828e-08,2.6384805911555925e-08,5.724492771083705e-08,0.21395725388530512,0.21395726476489632,0.21395729726074725,0.2457425517620127,0.24574254668514217,0.2457425967025883,0.3653856500168331
calibration,512,512,20,152.0,20,0.00029649599273506486,0.00028500231918552254,0.0003590085821028414,0.0005754929821166497,0.0005731202838881157,0.0006027766491413065,7.143059265736176e-08,6.462189117330692e-08,1.0229009050409363e-07,2.437751173420673e-08,1.9204584932880446e-08,5.246818383867091e-08,0.21395725505595328,0.2139572543158945,0.21395727074158732,0.24574254053437947,0.24574254215945862,0.24574256935093083,0.60754979995545
calibration,512,672,20,164.5,20,0.00025370681407448266,0.000244481793887397,0.0003068126129636544,0.0005282141767956155,0.0005278860892215429,0.0005759194197453745,5.272423520004879e-08,4.7947451079606586e-08,7.504896685873104e-08,1.899488654228944e-08,2.047031444396774e-08,3.086425635699748e-08,0.2139572528313562,0.21395725274470506,0.2139572606099251,0.24574253465724802,0.24574253426800652,0.24574256306198092,0.9218620000174269
calibration,512,896,20,181.5,20,0.00019910646597329419,0.0001977402108126113,0.00024899650294608205,0.00048704591278931437,0.000504476150747657,0.0005213445607651982,3.285437293790869e-08,3.1667234318830974e-08,4.991768529651169e-08,1.0112630995212776e-08,8.078202958167895e-09,1.701769729815505e-08,0.21395725090410167,0.21395724931056093,0.21395726128243578,0.24574253089496137,0.24574253245552324,0.24574254063563508,1.5722234999993816
validation,128,128,100,91.0,100,0.0006716897567912547,0.0006676805174017586,0.0007336244406349212,0.0013771011375964804,0.0013934335167779552,0.0016030626061852976,3.4579741039604467e-07,3.397016008428776e-07,4.077710410831495e-07,7.163747449330984e-08,5.3671371794340246e-08,1.5572324604207188e-07,0.21395708497807076,0.21395708427942192,0.21395719081648756,0.24574285684738176,0.24574281945718196,0.24574311148636363,0.027501150034368038
validation,128,160,100,100.0,100,0.0006051259848779208,0.0006148171864749615,0.000655732376575811,0.0011510186972905274,0.001166187020594443,0.001359373986242597,2.8193643375864456e-07,2.8930901220271754e-07,3.2781026845580726e-07,5.945316893098507e-08,5.526204764863093e-08,9.593017585831967e-08,0.21395717698960964,0.2139571827808564,0.21395727628263453,0.24574272147708467,0.24574271081558952,0.24574286547065408,0.030878449964802712
validation,128,216,100,113.0,100,0.0005234880020322977,0.0005214808375391619,0.0005970248013931586,0.0009327611677486684,0.0009359660952544821,0.0011148324366953997,2.1394662052575346e-07,2.106693488753906e-07,2.729825998432416e-07,5.70078589038197e-08,5.273197759958228e-08,1.000089097845179e-07,0.2139572311604382,0.2139572290097131,0.21395728751768858,0.2457426167490141,0.24574261854355328,0.24574272345604986,0.0500434500281699
validation,128,288,100,124.0,100,0.00045274965213980224,0.0004532528427827097,0.0005091291192917321,0.0007621285805285579,0.0007482319552767076,0.0008783792810382759,1.6171429739934285e-07,1.6044455478630018e-07,2.0152095637078184e-07,4.7021320498531357e-08,4.5747973317754155e-08,7.887264038805374e-08,0.21395724226732937,0.21395724124576204,0.21395728267962538,0.24574257581534087,0.24574257585858517,0.2457426386051119,0.07970549998572096
validation,128,384,100,137.0,100,0.00036937142740320187,0.0003767070606720915,0.00042423253755385784,0.0006424873348285547,0.0006344304434958668,0.0007177258915271251,1.0927990414587787e-07,1.1213890343397208e-07,1.4172362870429117e-07,3.102569259612931e-08,2.6256240348492126e-08,5.466558725025349e-08,0.21395725466420745,0.21395725584970343,0.21395728219549132,0.2457425526465945,0.24574255461409844,0.24574260302736053,0.1627800000132993
validation,128,512,100,152.0,100,0.0003082414129551272,0.00030698905563931523,0.0003712500092115383,0.0005675207066633028,0.0005631074638381994,0.0006232152839928543,7.69774843706924e-08,7.511404979987858e-08,1.0908241059853969e-07,2.6404577572896717e-08,2.537829292950148e-08,4.848863728627595e-08,0.21395725893665316,0.21395725877490165,0.21395727721903907,0.24574253281039748,0.2457425343138649,0.245742567925815,0.27224339998792857
validation,128,672,100,165.5,100,0.0002440045934705869,0.00023678864209388559,0.00030738620717370694,0.0005279428897849673,0.0005293156730946797,0.0005696277705327328,4.923566290991806e-08,4.517288137940951e-08,7.535444782371835e-08,1.5795128093214455e-08,1.381025304738142e-08,3.186880090829146e-08,0.21395725490567716,0.21395725389421932,0.21395726878429921,0.24574253373987467,0.24574253043156152,0.24574255564305308,0.41075709997676313
validation,128,896,100,181.0,100,0.00019000194445387502,0.00019111679716312215,0.00022656388880974688,0.0004887390779752277,0.0004980679529524936,0.0005334815474924531,2.985995128199822e-08,2.9646310175591567e-08,4.148811498303236e-08,9.726654657283426e-09,9.237469522837875e-09,1.6295574027975833e-08,0.21395724929831503,0.21395724880398242,0.2139572565695629,0.24574253354912023,0.2457425331043718,0.24574255016261393,0.7370155500248075
validation,256,128,100,91.0,100,0.000671689695765887,0.0006676805552305915,0.000733624318359722,0.0013771010537614852,0.001393433564079607,0.0016030592073500037,3.4579739038375997e-07,3.397017888135122e-07,4.0777180360124265e-07,7.163749358422551e-08,5.3672175243205015e-08,1.5572329975067577e-07,0.21395708497805027,0.21395708427941615,0.21395719081631423,0.2457428568475843,0.24574281945595394,0.24574311149198624,0.038980950019322336
validation,256,160,100,100.0,100,0.0006051259691726845,0.0006148172215319864,0.0006557323616553383,0.0011510186954619714,0.0011661869685330407,0.0013593740028176573,2.819364232425265e-07,2.893093833096436e-07,3.2781027196307577e-07,5.945316395066377e-08,5.5261823846982776e-08,9.592984865860384e-08,0.21395717698967207,0.21395718278103468,0.2139572762829576,0.24574272147685716,0.24574271081573684,0.24574286546940272,0.046730600006412715
validation,256,216,100,113.0,100,0.0005234880682944066,0.0005214809648451733,0.0005970246854962493,0.0009327611898118172,0.0009359670459253083,0.0011148322436616929,2.1394666478558635e-07,2.1066945864341624e-07,2.729824265652184e-07,5.700788270016267e-08,5.2731782424828556e-08,1.0000892872376792e-07,0.21395723116042123,0.2139572290097682,0.2139572875177072,0.24574261674917075,0.24574261854409823,0.2457427234557574,0.08652175008319318
validation,256,288,100,124.0,100,0.0004527496636684947,0.00045325283433580185,0.0005091291213943203,0.0007621285361297036,0.0007482318538597507,0.0008783792349817855,1.617143149375813e-07,1.6044455052070335e-07,2.0152098048562273e-07,4.702134868559535e-08,4.5747874450698244e-08,7.887311132890438e-08,0.21395724226732737,0.21395724124563953,0.21395728267948186,0.2457425758153561,0.2457425758586349,0.2457426386052003,0.12801970000145957
validation,256,384,100,137.0,100,0.0003693714154500658,0.0003767070248646666,0.0004242325180813855,0.0006424873364393392,0.0006344304521794107,0.0007177258270325774,1.092798872882391e-07,1.1213882314596023e-07,1.4172364015504893e-07,3.102568956281599e-08,2.6256261392103262e-08,5.466550195727466e-08,0.21395725466419385,0.21395725584978126,0.2139572821954513,0.24574255264661615,0.2457425546141097,0.24574260302748424,0.22068159998161718
validation,256,512,100,152.0,100,0.0003082414126467906,0.00030698902417517415,0.00037124998936288994,0.0005675207015311399,0.0005631074819635987,0.0006232153587579487,7.697747046484666e-08,7.511402847189433e-08,1.0908240240859374e-07,2.640457118018889e-08,2.5378294446158136e-08,4.848865800759755e-08,0.2139572589366518,0.21395725877490523,0.21395727721900523,0.2457425328104184,0.24574253431380405,0.24574256792584845,0.3706723999348469
validation,256,672,100,165.5,100,0.00024400459453523742,0.00023678863247514627,0.0003073862034099244,0.0005279428857531924,0.0005293156721282366,0.0005696276135635452,4.9235655601528796e-08,4.517285711290298e-08,7.535446943607573e-08,1.579512635474676e-08,1.3810241008919194e-08,3.186879908830347e-08,0.21395725490567885,0.21395725389422418,0.2139572687843095,0.24574253373988653,0.24574253043158492,0.24574255564301872,0.5956099500181153
validation,256,896,100,181.0,100,0.00019000194507694745,0.00019111679019436048,0.00022656392316099957,0.0004887390805754033,0.0004980679482747958,0.0005334815646485262,2.98599436968191e-08,2.9646295103816022e-08,4.148811011077284e-08,9.726655921795914e-09,9.237469428046834e-09,1.6295576018587698e-08,0.21395724929831214,0.21395724880399208,0.21395725656956094,0.2457425335491309,0.2457425331043824,0.24574255016257768,0.9896117499447428
validation,512,128,100,91.0,100,0.0006716897650636287,0.0006676804592867415,0.0007336246907128943,0.0013771010273225365,0.0013934336874759099,0.0016030611220017108,3.457973724056912e-07,3.397013914494677e-07,4.0777230392731605e-07,7.163745240699725e-08,5.3671915610543316e-08,1.5572292001776493e-07,0.21395708497797533,0.21395708427965004,0.2139571908171288,0.2457428568471307,0.24574281945644363,0.2457431114885326,0.08068660000571981
validation,512,160,100,100.0,100,0.0006051259812384634,0.0006148172197343934,0.0006557323490910291,0.0011510187165064659,0.0011661874303122554,0.0013593739310463193,2.8193644073716107e-07,2.8930910339169913e-07,3.278102425968112e-07,5.945315709916732e-08,5.526207542240599e-08,9.5930138377942e-08,0.2139571769896289,0.2139571827803693,0.213957276281683,0.24574272147729076,0.245742710815274,0.24574286546886462,0.09876449999865144
validation,512,216,100,113.0,100,0.0005234880566395942,0.0005214808810457805,0.0005970247671875184,0.000932761151218648,0.0009359669015687395,0.0011148324434748986,2.1394664041480968e-07,2.106693306755107e-07,2.729825655478429e-07,5.700786449838695e-08,5.2731653224639474e-08,1.0000854698128702e-07,0.21395723116044243,0.21395722900973138,0.21395728751773305,0.24574261674913728,0.24574261854418694,0.24574272345577453,0.14611880003940314
validation,512,288,100,124.0,100,0.0004527496405516601,0.000453252833729551,0.0005091291428242294,0.0007621284910028087,0.0007482318958924442,0.0008783791588314375,1.6171428342145592e-07,1.604446383919985e-07,2.0152109116364238e-07,4.702131683580552e-08,4.5747725154808435e-08,7.88728835460325e-08,0.2139572422673238,0.21395724124542556,0.2139572826792713,0.24574257581537476,0.2457425758584371,0.24574263860493784,0.21291240002028644
validation,512,384,100,137.0,100,0.0003693714210469308,0.0003767070508008545,0.00042423253129584713,0.0006424873346649874,0.000634430495620166,0.0007177258155989308,1.0927989667065636e-07,1.1213886959357038e-07,1.4172359848490725e-07,3.1025697652283445e-08,2.6256222243403267e-08,5.4665582870907385e-08,0.2139572546641933,0.21395725584967312,0.2139572821954349,0.24574255264658804,0.24574255461416677,0.24574260302737236,0.35752545000286773
validation,512,512,100,152.0,100,0.00030824141730933076,0.0003069890362954201,0.0003712499880423651,0.0005675207067028184,0.0005631074690296996,0.0006232153164221694,7.697747515700319e-08,7.511405036862482e-08,1.0908238073936172e-07,2.6404572344222884e-08,2.537831217208283e-08,4.848866466192864e-08,0.2139572589366567,0.2139572587748883,0.21395727721907823,0.24574253281039887,0.24574253431377932,0.24574256792578464,0.5931048999773338
validation,512,672,100,165.5,100,0.00024400459349267864,0.00023678863927906874,0.00030738621025540617,0.000527942886649915,0.0005293156756232967,0.0005696277406271071,4.923565967754358e-08,4.51728772086037e-08,7.53544818157857e-08,1.5795126021082293e-08,1.3810252763008298e-08,3.186878869920536e-08,0.21395725490567877,0.2139572538942309,0.21395726878430651,0.24574253373987406,0.24574253043157335,0.24574255564299805,0.9018217000411823
validation,512,896,100,181.0,100,0.00019000194431059624,0.00019111678409757974,0.0002265638907698078,0.000488739075901165,0.0004980679513383261,0.0005334815691298785,2.985994744485687e-08,2.9646301928770988e-08,4.1488119286545623e-08,9.726655201384006e-09,9.23747729570325e-09,1.6295578919193554e-08,0.21395724929831336,0.2139572488039843,0.21395725656955913,0.24574253354912393,0.24574253310437788,0.24574255016265023,1.5516653500380926
