kind,mode,epoch,selected_epoch,selected_by,stop_reason,paper_epochs,tail_epochs_available,paper_interior_sample_size,paper_boundary_sample_size,stochastic_batch_interior,stochastic_batch_boundary,boundary_measure_multiplier,best_loss_epoch,recovery_count,total_seconds,lambda_ref,lambda_eps,lambda_domain,lambda_stabilized,relerr_eps,relerr_domain,relerr_stabilized,stationarity_rel,output_scale_factor,pre_scale_mass,pre_scale_loss,accepted,loss,a_eps,domain_energy,mass,boundary_integral,orth_penalty,rayleigh_eps,rayleigh_domain,norm
square,1,167000,147000,minimum_independent_validation_loss,validation_loss_plateau_at_minimum_learning_rate,100000,120000,200000,80000,8192,4096,1.0,147000,0,2735.77014909999,151.00174063238603,147.17868547116987,142.95991982265502,147.17874485015858,0.02531795425142412,0.053256477548221326,0.02531756101762125,4.03448288174478e-07,0.9997018109237057,0.8533301477813721,68.17401538628484,1,68.17395137133043,125.51711127482682,121.91925825927734,0.8528212551498414,0.0017989265077747404,0.0,147.17868547116987,142.95991982265502,0.9234832186617369
square,2,150000,130000,minimum_independent_validation_loss,validation_loss_plateau_at_minimum_learning_rate,100000,120000,200000,80000,8192,4096,1.0,130000,0,2649.459644800023,181.8948678598285,177.226760203026,171.68505177926542,177.2436731147765,0.025663767822189647,0.056130314179237625,0.025570786024794855,9.543091422040432e-05,1.0030952165084246,0.8176865941429139,80.77445873068673,1,80.76803408116697,145.81443825040998,141.25496258300782,0.8227563268852235,0.002279737833701074,1.3970082315106896e-05,177.226760203026,171.68505177926542,0.9070591639387275
square,3,175000,155000,minimum_independent_validation_loss,validation_loss_plateau_at_minimum_learning_rate,100000,120000,200000,80000,8192,4096,1.0,155000,0,3425.5229300000065,181.8948678598285,176.73541422434135,171.2102065234036,176.7473335266111,0.02836503138430009,0.058740862027282174,0.02829950285999378,6.744150470383934e-05,1.0007877639815166,0.821957181835175,80.56416410750779,1,80.56374468186011,145.49790102046794,140.94925904785163,0.8232526664733889,0.002274320986308158,9.778388868738541e-06,176.73541422434135,171.2102065234036,0.9073327209317368
exp,1,205000,185000,minimum_independent_validation_loss,validation_loss_plateau_at_minimum_learning_rate,100000,120000,200000,80000,8192,4096,1.0,185000,0,3355.795450900012,145.07515483152002,141.03443594913676,137.18438993581123,141.03441555023193,0.027852590521622145,0.05439087695527585,0.02785273113084542,1.446377595656849e-07,1.0015544792231619,0.715704301548004,60.57248214895306,1,60.57186191282301,101.25301745605051,98.48894942138672,0.7179311688995361,0.0013820340173318984,0.0,141.03443594913676,137.18438993581123,0.8473081900344975
exp,2,184000,164000,minimum_independent_validation_loss,validation_loss_plateau_at_minimum_learning_rate,100000,120000,200000,80000,8192,4096,1.0,164000,0,3397.9596712000202,175.80338618933638,171.5009197279717,166.13975636134705,171.5124893093109,0.02447317173248877,0.054968394167230705,0.024407361957205328,6.74607538988088e-05,1.0019637468565064,0.6544023364639283,71.04880504477097,1,71.04797679888381,112.67182040521024,109.14966998779295,0.6569750213813782,0.0017610752087086439,1.519840696178126e-05,171.5009197279717,166.13975636134705,0.8105399566840479
exp,3,162000,142000,minimum_independent_validation_loss,validation_loss_plateau_at_minimum_learning_rate,100000,120000,200000,80000,8192,4096,1.0,142000,0,3264.663100900012,175.80338618933638,170.9578212418806,165.83064798049324,171.7338550662994,0.02756240964686094,0.05672665598205668,0.023148195329151234,0.004539329167753267,1.006040283022929,0.6486722107696533,71.12840540173222,1,71.120682123288,112.23932985067371,108.87317504882816,0.6565322898674012,0.0016830774009227753,0.0010190348399391322,170.9578212418806,165.83064798049324,0.8102668016569612
