method,resolution,keff,keff_error,keff_error_min,keff_error_max,flux_error,flux_error_min,flux_error_max,seconds,timing_device,timing_dtype
drm,61750,0.9687516094656505,8.37970937928192e-05,8.37970937928192e-05,8.37970937928192e-05,0.02680886937517324,0.02680886937517324,0.02680886937517324,4237.393011299954,cuda,float32
gipmnn,419000,0.9688122676869632,2.1187506632059932e-05,2.1187506632059932e-05,2.1187506632059932e-05,0.04429625035923914,0.04429625035923914,0.04429625035923914,28497.71229159995,cuda,float32
pc_gipmnn,555000,0.968722315583888,0.00011403335532175413,0.00011403335532175413,0.00011403335532175413,0.027461192374033796,0.027461192374033796,0.027461192374033796,53885.52594759991,cuda,float32
rfm,6000,0.968812527158434,2.091968800298097e-05,2.0837535677787657e-05,2.4555446270301418e-05,0.006621398788559998,0.0065848389179526115,0.006792761008914503,13.280412300024182,cuda,float64
