potential,N,eigen_index,trials,lambda_ref,lambda_median,rel_error_median,rel_error_q90,rel_error_min,rel_error_max,rank_median,total_s_median
exp,128,1,5,145.07515814545604,145.9485106435802,0.00602000031768708,0.006260776579111675,0.00571739134428561,0.0062736879810091645,106.0,2.795592200011015
exp,128,2,5,175.80339245481804,176.4576620868473,0.003721598445248537,0.005265349334483505,0.0020101714297293596,0.006032324155360294,106.0,2.795592200011015
exp,128,3,5,175.80339245481804,177.0386274595007,0.007026229627509169,0.00763703109245923,0.006226174102406722,0.008012228347814102,106.0,2.795592200011015
exp,256,1,5,145.07515814545604,145.7079336691562,0.004361708315807757,0.004595779234905821,0.004080515461849963,0.004710366439838626,152.0,3.8322882000356913
exp,256,2,5,175.80339245481804,175.60846298846639,0.0011087924051394512,0.0019136806241970346,9.818531045575318e-05,0.0020130585445268102,152.0,3.8322882000356913
exp,256,3,5,175.80339245481804,176.167376061894,0.0020704014979091513,0.002462873829639188,0.0013304535178587993,0.002720811674360972,152.0,3.8322882000356913
exp,384,1,5,145.07515814545604,145.62175138513098,0.0037676556528506797,0.004197028840577577,0.003367476059502051,0.004405481033721838,172.0,3.8160490998998284
exp,384,2,5,175.80339245481804,175.35448178094018,0.002553481292991732,0.003476327458754633,0.0014560601374302839,0.0034881978276928905,172.0,3.8160490998998284
exp,384,3,5,175.80339245481804,175.82603796190094,0.0004665969961992331,0.0014277309600571981,0.00012881154775621858,0.0017175550224289458,172.0,3.8160490998998284
exp,512,1,5,145.07515814545604,145.56298037301906,0.0033625483080563807,0.0037314799106468555,0.003045335107633319,0.003961369295371638,203.0,3.992012800183147
exp,512,2,5,175.80339245481804,175.08752411486137,0.004071982513879255,0.004318237957415494,0.0035584943348471467,0.00434540580131442,203.0,3.992012800183147
exp,512,3,5,175.80339245481804,175.45961417124724,0.001955470134964268,0.002474785924367508,0.0001772326671220948,0.002620240218735396,203.0,3.992012800183147
square,128,1,5,151.00174383907776,151.23549008275657,0.0015479704918369126,0.001918551426014342,0.0014268900891492681,0.00196139607030678,103.0,2.4553179000504315
square,128,2,5,181.89487396569749,183.45926217190922,0.00860050738157003,0.00964677757041224,0.005587114635752847,0.009695572423648898,103.0,2.4553179000504315
square,128,3,5,181.89487396569749,183.76809269487313,0.010298359092455278,0.010782614905511629,0.00880270292757191,0.010947718547780112,103.0,2.4553179000504315
square,256,1,5,151.00174383907776,151.04834524842622,0.00030861504088401523,0.0005858129008876064,1.3489255874391705e-05,0.0006135946947223887,153.0,2.856806100346148
square,256,2,5,181.89487396569749,182.27337312984784,0.002080867678666603,0.002996265426137491,0.0009854220099773407,0.0034387077383266204,153.0,2.856806100346148
square,256,3,5,181.89487396569749,182.7798067975206,0.004865078451798437,0.005557520003288924,0.003708897067317191,0.005658912087520378,153.0,2.856806100346148
square,384,1,5,151.00174383907776,150.94596602300015,0.0003693852445641318,0.0005216005930848267,0.0002661868926591966,0.0005527867446241537,178.0,3.5725035001523793
square,384,2,5,181.89487396569749,182.08674447727398,0.001347479072805175,0.0020001402495567764,0.00039564207450764455,0.002293747365731569,178.0,3.5725035001523793
square,384,3,5,181.89487396569749,182.42678742419977,0.0029242905360961327,0.0042980778599531425,0.0014963885659122832,0.004735041287476345,178.0,3.5725035001523793
square,512,1,5,151.00174383907776,150.88103555871731,0.0007993833534073951,0.0009601123123567451,0.00038983216019311756,0.0010612397807304348,200.0,5.17202669987455
square,512,2,5,181.89487396569749,181.77180886656774,0.0006765726622563028,0.0010590491061597067,6.486573511396168e-05,0.0010721017864761075,200.0,5.17202669987455
square,512,3,5,181.89487396569749,182.0753229531528,0.0009920509771449144,0.0027410703491968142,0.0001957791211301099,0.0033996724387421397,200.0,5.17202669987455
