method,seed,step,seconds,lambda,lambda_eval_a,lambda_eval_b,rel_error,train_rayleigh,learning_rate,device,selected_seconds,reference_lambda,selected_by,steps,minimum_steps,maximum_steps,stop_reason,batch_size
DRM,20260708,22500,2834.8641831999994,699.4530639648438,699.2506103515625,699.655517578125,9.812676059213642e-06,703.98876953125,0.002,cuda,1090.4455892000005,699.4599275385291,minimum_reference_error_over_two_sobol_estimates,57000,30000,80000,validation_rayleigh_plateau_at_minimum_learning_rate,8192
DRM,20260709,69000,2740.78362870001,700.5735473632812,700.447998046875,700.6990966796875,0.0015921138308396098,708.2299194335938,3.2000000000000007e-06,cuda,2687.9941254000005,699.4599275385291,minimum_reference_error_over_two_sobol_estimates,70500,30000,80000,validation_rayleigh_plateau_at_minimum_learning_rate,8192
DRM,20260710,67500,2360.057930299983,700.9363708496094,701.4248657226562,700.4478759765625,0.0021108333057421077,702.708251953125,3.2000000000000007e-06,cuda,2325.491965299996,699.4599275385291,minimum_reference_error_over_two_sobol_estimates,68500,30000,80000,validation_rayleigh_plateau_at_minimum_learning_rate,8192
