potential,N,trials,rank_median,time_s_median,lambda1_error_median,lambda1_error_q90,lambda1_error_min,lambda1_error_max,cluster_error_median,cluster_error_q90,cluster_error_min,cluster_error_max,split_error_median,split_error_q90,split_error_min,split_error_max
exp,128,5,106.0,2.795592200011015,0.00602000031768708,0.006260776579111675,0.00571739134428561,0.0062736879810091645,0.007026229627509169,0.00763703109245923,0.006226174102406722,0.008012228347814102,0.0029593481062586023,0.004416804204081176,0.0019799041924538096,0.005016058197779809
exp,256,5,152.0,3.8322882000356913,0.004361708315807757,0.004595779234905821,0.004080515461849963,0.004710366439838626,0.0020704014979091513,0.002462873829639188,0.0013304535178587993,0.002720811674360972,0.0035161280336296103,0.003832850776767083,0.0014286388283145527,0.0038350152416115227
exp,384,5,172.0,3.8160490998998284,0.0037676556528506797,0.004197028840577577,0.003367476059502051,0.004405481033721838,0.002553481292991732,0.003476327458754633,0.0014560601374302839,0.0034881978276928905,0.002546299495603512,0.0037593917529116128,0.0018032746885566912,0.004271036315420678
exp,512,5,203.0,3.992012800183147,0.0033625483080563807,0.0037314799106468555,0.003045335107633319,0.003961369295371638,0.004071982513879255,0.004318237957415494,0.0035584943348471467,0.00434540580131442,0.0023220160566028375,0.0033668298695671514,0.001451742295143859,0.003381261667725052
square,128,5,103.0,2.4553179000504315,0.0015479704918369126,0.001918551426014342,0.0014268900891492681,0.00196139607030678,0.010298359092455278,0.010782614905511629,0.00880270292757191,0.010947718547780112,0.0013319947849897422,0.0035859376667611775,0.00060278666880638,0.00383283725005592
square,256,5,153.0,2.856806100346148,0.00030861504088401523,0.0005858129008876064,1.3489255874391705e-05,0.0006135946947223887,0.004865078451798437,0.005557520003288924,0.003708897067317191,0.005658912087520378,0.002393361486318118,0.004133919725835879,0.0013762951094633941,0.004673490077543039
square,384,5,178.0,3.5725035001523793,0.0003693852445641318,0.0005216005930848267,0.0002661868926591966,0.0005527867446241537,0.0029242905360961327,0.0042980778599531425,0.0015597295752945882,0.004735041287476345,0.0030561181412068713,0.003536092092470305,0.0005963793017283478,0.003680198413714657
square,512,5,200.0,5.17202669987455,0.0007993833534073951,0.0009601123123567451,0.00038983216019311756,0.0010612397807304348,0.0010721017864761075,0.0027410703491968142,0.0006765726622563028,0.0033996724387421397,0.0019237220111899677,0.002891331329445669,0.0007862416326204983,0.0034645381738561015
