features,seed,unknowns,lambda,energy,lambda_abs_error,energy_abs_error,converged,wall_seconds,optimization_lambda,optimization_energy,evaluation_order,evaluation_mass
128.0,2086155103.0,,16.66046162082346,5.853715782101136,0.030466508323460317,0.003128668601136475,True,0.3268860999960452,16.660462112467776,5.853715902188487,112.0,0.9999999979783957
128.0,2086155103.0,,16.66046162082346,5.853715782101136,0.030466508323460317,0.003128668601136475,True,0.3132360000163317,16.660462112467776,5.853715902188487,112.0,0.9999999979783957
128.0,2086155103.0,,16.66046162082346,5.853715782101136,0.030466508323460317,0.003128668601136475,True,0.3072124000173062,16.660462112467776,5.853715902188487,112.0,0.9999999979783957
128.0,2086155103.0,,16.66046162082346,5.853715782101136,0.030466508323460317,0.003128668601136475,True,0.3084226000355556,16.660462112467776,5.853715902188487,112.0,0.9999999979783957
128.0,2086155103.0,,16.66046162082346,5.853715782101136,0.030466508323460317,0.003128668601136475,True,0.3083667999599129,16.660462112467776,5.853715902188487,112.0,0.9999999979783957
128.0,2086155137.0,,16.640630145616953,5.852975546840458,0.010635033116951575,0.0023884333404584623,True,0.5159259000211023,16.640630660483158,5.852975719739482,112.0,1.0000000097217443
128.0,2086155137.0,,16.640630145616953,5.852975546840458,0.010635033116951575,0.0023884333404584623,True,0.5138493999838829,16.640630660483158,5.852975719739482,112.0,1.0000000097217443
128.0,2086155137.0,,16.640630145616953,5.852975546840458,0.010635033116951575,0.0023884333404584623,True,0.5172482999623753,16.640630660483158,5.852975719739482,112.0,1.0000000097217443
128.0,2086155137.0,,16.640630145616953,5.852975546840458,0.010635033116951575,0.0023884333404584623,True,0.5200221000122838,16.640630660483158,5.852975719739482,112.0,1.0000000097217443
128.0,2086155137.0,,16.640630145616953,5.852975546840458,0.010635033116951575,0.0023884333404584623,True,0.5444116000435315,16.640630660483158,5.852975719739482,112.0,1.0000000097217443
128.0,2086155179.0,,16.66019286995814,5.854596013573971,0.030197757458140018,0.0040089000739715885,True,0.2955689000082202,16.660195874541735,5.8545966701135885,112.0,0.9999999988593193
128.0,2086155179.0,,16.66019286995814,5.854596013573971,0.030197757458140018,0.0040089000739715885,True,0.2937573000090197,16.660195874541735,5.8545966701135885,112.0,0.9999999988593193
128.0,2086155179.0,,16.66019286995814,5.854596013573971,0.030197757458140018,0.0040089000739715885,True,0.3204594000126235,16.660195874541735,5.8545966701135885,112.0,0.9999999988593193
128.0,2086155179.0,,16.66019286995814,5.854596013573971,0.030197757458140018,0.0040089000739715885,True,0.2948156000347808,16.660195874541735,5.8545966701135885,112.0,0.9999999988593193
128.0,2086155179.0,,16.66019286995814,5.854596013573971,0.030197757458140018,0.0040089000739715885,True,0.3004604000016115,16.660195874541735,5.8545966701135885,112.0,0.9999999988593193
128.0,2086155221.0,,16.63702978538172,5.855563682194856,0.007034672881719217,0.004976568694856631,True,0.3566929000080563,16.637030423806706,5.8555638513239625,112.0,1.0000000025747986
128.0,2086155221.0,,16.63702978538172,5.855563682194856,0.007034672881719217,0.004976568694856631,True,0.3415134000242688,16.637030423806706,5.8555638513239625,112.0,1.0000000025747986
128.0,2086155221.0,,16.63702978538172,5.855563682194856,0.007034672881719217,0.004976568694856631,True,0.3377272000070661,16.637030423806706,5.8555638513239625,112.0,1.0000000025747986
128.0,2086155221.0,,16.63702978538172,5.855563682194856,0.007034672881719217,0.004976568694856631,True,0.3393863000092096,16.637030423806706,5.8555638513239625,112.0,1.0000000025747986
