subdivisions,degrees_of_freedom,lambda,energy,published_lambda,published_energy,lambda_reproduction_error,energy_reproduction_error,stationarity_residual,iterations,wall_seconds
16,2272,16.61324016638747,5.830365998228878,16.613239,5.830354,1.1663874701639543e-06,1.1998228877985184e-05,3.845465889996306e-07,47,0.10442469990812242
32,9152,16.6240313976965,5.843679092737746,16.624031,5.843679,3.97696499732092e-07,9.273774637108545e-08,3.4154180353260765e-07,36,0.35756619996391237
64,36736,16.628342626163914,5.848678897740636,16.628343,5.848679,3.738360874194768e-07,1.0225936364349764e-07,3.1793698478481744e-07,50,1.977119800169021
128,147200,16.629568878665847,5.850096130525026,16.629569,5.850096,1.2133415339121711e-07,1.3052502634280927e-07,6.462682824715575e-07,88,8.789032000117004
