method,seed,epoch,seconds,learning_rate,loss,pde_loss,boundary_loss,interface_loss,keff,keff_error,flux_error,acceptance_score,paper_budget_reached
drm,2026071101,1,0.4965536999516189,0.001,1.856351375579834,1.856351375579834,0.0,0.0,0.6003541802396496,0.38031153980217836,1.961101659204695,1347.7622078183372,0
drm,2026071101,250,9.143741799984127,0.001,1.041580080986023,1.041580080986023,0.0,0.0,0.9597594519680078,0.009331696977696292,0.8571993302546256,33.070015513843266,0
drm,2026071101,500,17.150899899890646,0.001,1.0388944149017334,1.0388944149017334,0.0,0.0,0.9615824598988033,0.007449979460359914,0.8370222672764043,26.401514849953628,0
drm,2026071101,750,24.680503699928522,0.001,1.03949773311615,1.03949773311615,0.0,0.0,0.9620202622096138,0.006998077818317722,0.8210782114317466,24.800048969869312,0
drm,2026071101,1000,33.505827999906614,0.001,1.0395158529281616,1.0395158529281616,0.0,0.0,0.9622235110124507,0.00678828343058346,0.8006859718763857,24.05657180021072,0
drm,2026071101,1250,47.45095339999534,0.001,1.202593445777893,1.202593445777893,0.0,0.0,0.8244321825804235,0.14901715258007484,0.8686880435749521,528.0925387344066,0
drm,2026071101,1500,57.46185309998691,0.001,1.0446597337722778,1.0446597337722778,0.0,0.0,0.9561644237086693,0.013042502365122543,1.3278646262532081,46.2205059363617,0
drm,2026071101,1750,64.5536398999393,0.001,1.0421370267868042,1.0421370267868042,0.0,0.0,0.9589931149016774,0.010122713767880487,0.951381464838031,35.87325029371496,0
drm,2026071101,2000,71.58449629996903,0.001,1.0423223972320557,1.0423223972320557,0.0,0.0,0.9602227811287175,0.008853446398929075,0.8456741894281763,31.375173289847172,0
drm,2026071101,2250,78.91416159993969,0.001,1.0398242473602295,1.0398242473602295,0.0,0.0,0.9610322404376106,0.00801791862344075,0.840248340261812,28.414198821464137,0
drm,2026071101,2500,86.0953700998798,0.001,1.040184497833252,1.040184497833252,0.0,0.0,0.961537894841686,0.007495979725757687,0.8290125468946072,26.564532304761812,0
drm,2026071101,2750,93.34549360000528,0.001,1.0397878885269165,1.0397878885269165,0.0,0.0,0.9618606324875187,0.007162848381999642,0.8253174647782239,25.383969033948695,0
drm,2026071101,3000,100.71474509988911,0.001,1.039463996887207,1.039463996887207,0.0,0.0,0.9621051768116471,0.006910428559406385,0.8166204950460973,24.489434259715022,0
drm,2026071101,3250,107.69061719998717,0.001,1.038618564605713,1.038618564605713,0.0,0.0,0.9623406542809133,0.006667367587826883,0.8032058338494283,23.62806573048013,0
drm,2026071101,3500,114.68578289984725,0.001,1.0380183458328247,1.0380183458328247,0.0,0.0,0.9625509835691917,0.006450264689108515,0.7855635082066305,22.858688387229837,0
drm,2026071101,3750,121.70631909999065,0.001,1.037974238395691,1.037974238395691,0.0,0.0,0.9628051581238581,0.006187904496430485,0.7747191345580942,21.92892655904205,0
drm,2026071101,4000,128.76107280002907,0.001,1.038420557975769,1.038420557975769,0.0,0.0,0.9630912011517859,0.005892649513020303,0.7341716087433862,20.882590945567735,0
drm,2026071101,4250,135.7850798999425,0.001,1.0383083820343018,1.0383083820343018,0.0,0.0,0.9634881919785984,0.005482873680224641,0.6543324952448129,19.4304120781935,0
drm,2026071101,4500,142.76383609999903,0.001,1.036513090133667,1.036513090133667,0.0,0.0,0.9643131415835269,0.004631356746978857,0.4851829181915258,16.412774636681753,0
drm,2026071101,4750,149.9804805999156,0.001,1.0363093614578247,1.0363093614578247,0.0,0.0,0.9646921206378711,0.004240172751990982,0.36750807463257107,15.026482216992637,0
drm,2026071101,5000,156.98963969992474,0.001,1.0403659343719482,1.0403659343719482,0.0,0.0,0.9613141981528619,0.007726880519341553,0.8260453670348298,27.382807142042502,0
drm,2026071101,5250,164.03638249984942,0.001,1.0372567176818848,1.0372567176818848,0.0,0.0,0.9640707987338949,0.004881504197053157,0.5881452129694548,17.29925649249825,0
drm,2026071101,5500,171.08944619982503,0.001,1.0356849431991577,1.0356849431991577,0.0,0.0,0.9658441823536387,0.0030510091312565286,0.33126287261309895,10.812279861281908,0
drm,2026071101,5750,178.01805939991027,0.001,1.0347758531570435,1.0347758531570435,0.0,0.0,0.966479910674809,0.002394807313368095,0.22829566049869948,8.48680740438052,0
drm,2026071101,6000,185.11301229987293,0.001,1.034623146057129,1.034623146057129,0.0,0.0,0.966650054667089,0.0022191838696439085,0.20777408582761234,7.8644264995531525,0
drm,2026071101,6250,192.11782689997926,0.001,1.0343842506408691,1.0343842506408691,0.0,0.0,0.9667481470539224,0.002117932438147781,0.21606408827177895,7.505607903280818,0
drm,2026071101,6500,199.0622546998784,0.001,1.034818172454834,1.034818172454834,0.0,0.0,0.9667952249788356,0.0020693383785759314,0.23097451857244372,7.333398464015634,0
drm,2026071101,6750,206.06165169994347,0.001,1.034510612487793,1.034510612487793,0.0,0.0,0.9668551249752515,0.0020075093153886186,0.20318341236548845,7.114286325709188,0
drm,2026071101,7000,213.08907500002533,0.001,1.0343087911605835,1.0343087911605835,0.0,0.0,0.9668782285448513,0.0019836617001947904,0.19847012775474104,7.029774258256398,0
drm,2026071101,7250,220.05302969994955,0.001,1.0345683097839355,1.0345683097839355,0.0,0.0,0.9667980758283341,0.0020663957180696657,0.25333036129012804,7.322970154049422,0
drm,2026071101,7500,227.09714780002832,0.001,1.0341509580612183,1.0341509580612183,0.0,0.0,0.96698125681187,0.001877315429531403,0.20614718683522593,6.652900381073794,0
drm,2026071101,7750,234.02209570002742,0.001,1.034020185470581,1.034020185470581,0.0,0.0,0.9669546977733373,0.001904729796307475,0.17958121796746046,6.750052435705844,0
drm,2026071101,8000,241.45211059995927,0.001,1.1228562593460083,1.1228562593460083,0.0,0.0,0.8864440443493115,0.08500821186074374,0.46909025780955177,301.2552691925145,0
