method,resolution,keff,keff_error,keff_error_min,keff_error_max,flux_error,flux_error_min,flux_error_max,seconds
drm,61750,0.9687516094656505,8.37970937928192e-05,8.37970937928192e-05,8.37970937928192e-05,0.02680886937517324,0.02680886937517324,0.02680886937517324,4237.393011299954
gipmnn,419000,0.9688122676869632,2.1187506632059932e-05,2.1187506632059932e-05,2.1187506632059932e-05,0.04429625035923914,0.04429625035923914,0.04429625035923914,28497.71229159995
pc_gipmnn,555000,0.968722315583888,0.00011403335532175413,0.00011403335532175413,0.00011403335532175413,0.027461192374033796,0.027461192374033796,0.027461192374033796,53885.525947599905
rfm,6000,0.9688125367698839,2.090976735428501e-05,2.0840522438747984e-05,2.4555707495744557e-05,0.006616625564613875,0.00659132868836974,0.00679277352284005,493.67219650000334
