potential,N,trial,seed,retained,method_s,evaluation_s,orthogonality_max,assembly_points,assembly_seed,density,final_evaluation,lambda_1,lambda_ref_1,rel_error_1,assembly_lambda_1,mass_1,lambda_2,lambda_ref_2,rel_error_2,assembly_lambda_2,mass_2,lambda_3,lambda_ref_3,rel_error_3,assembly_lambda_3,mass_3
square,128,0,20988803,95,3.5825934410095215,0.7415797710418701,6.333604587043201e-05,4194304,203508,beta22,independent product integrals of fixed fields,151.45925610199993,151.00174161840965,0.003029862296200792,151.49250706341573,1.0000000103023354,184.83095122661445,181.8948721003363,0.01614162671204141,184.65023150651427,0.9999879523746826,184.91111047407713,181.8948721003363,0.0165823166915724,184.80891817279732,0.9999732190732512
square,128,1,20988900,103,3.1982369422912598,0.6667823791503906,2.396984301900021e-05,4194304,203508,beta22,independent product integrals of fixed fields,151.44427076031573,151.00174161840965,0.002930622767414006,151.4909280969935,1.0000066901630629,184.4542518856333,181.8948721003363,0.014070653865850677,184.2927615320019,0.9998971551199641,184.6570636855301,181.8948721003363,0.015185648464405958,184.40212255325318,1.0000568162232557
square,128,2,20988997,107,3.122004747390747,0.6505715847015381,3.8084090174396165e-05,4194304,203508,beta22,independent product integrals of fixed fields,151.49381563086456,151.00174161840965,0.0032587307085398206,151.53300392944374,1.0000001528172182,184.78828941146193,181.8948721003363,0.015907085657310742,184.51805776344546,0.9999698854620411,184.547882403417,181.8948721003363,0.0145854045935789,184.58780475293347,0.999988704050395
square,128,3,20989094,101,3.1692962646484375,0.7068226337432861,5.224800042723288e-05,4194304,203508,beta22,independent product integrals of fixed fields,151.41053919065752,151.00174161840965,0.0027072374653857893,151.4632690396456,1.0000107383390613,184.60593559753616,181.8948721003363,0.014904562541512388,184.4321090409049,1.0000508514954782,184.88143291915793,181.8948721003363,0.016419158958885835,184.68046982269757,0.9999613438995948
square,128,4,20989191,103,3.287551164627075,0.7750673294067383,4.642405563910816e-05,4194304,203508,beta22,independent product integrals of fixed fields,151.4287978450013,151.00174161840965,0.00282815431143067,151.48194224564762,1.0000063535592365,184.52464624703978,181.8948721003363,0.014457659615895353,184.173071779555,0.9999443856756955,184.45529581424117,181.8948721003363,0.01407639305242478,184.42952750445716,0.9999507355395002
square,128,5,20989288,105,3.234093189239502,0.7287547588348389,3.4194396033232445e-05,4194304,203508,beta22,independent product integrals of fixed fields,151.42339554224563,151.00174161840965,0.0027923778846307627,151.47496789240702,1.0000042235523716,184.37373708109283,181.8948721003363,0.01362800914689416,184.14947875752392,0.9999636881346529,184.5524379327795,181.8948721003363,0.014610449441242294,184.44708059169727,0.9999969232292747
square,128,6,20989385,101,3.2639620304107666,0.6953024864196777,3.0971086490792574e-05,4194304,203508,beta22,independent product integrals of fixed fields,151.4332639551451,151.00174161840965,0.002857730858667333,151.47551745051166,0.9999950535204427,184.92582237756685,181.8948721003363,0.016663198045289707,184.77375608378455,0.9999343825793605,184.97972868041424,181.8948721003363,0.016959557707466762,184.92439267331304,0.9999688652891362
square,128,7,20989482,100,3.2796833515167236,0.6993939876556396,3.148953023991245e-05,4194304,203508,beta22,independent product integrals of fixed fields,151.5371211516963,151.00174161840965,0.003545518929441185,151.58308854178742,1.0000008627333534,184.662175908007,181.8948721003363,0.015213753833281204,184.4233405163208,0.9999053531733672,184.8233573293187,181.8948721003363,0.016099877886425484,184.7226494698884,0.9999791129492771
square,128,8,20989579,101,3.27998423576355,0.7550721168518066,5.5465085566583284e-05,4194304,203508,beta22,independent product integrals of fixed fields,151.5018355819532,151.00174161840965,0.0033118423548207524,151.5496800045626,0.9999984772707962,184.3865929914278,181.8948721003363,0.013698686842128313,184.33233454770968,1.0000114378655705,184.79351446530305,181.8948721003363,0.015935811337044217,184.6440836547254,0.9999144405156583
square,128,9,20989676,108,3.3606972694396973,0.8114094734191895,3.435686196990681e-05,4194304,203508,beta22,independent product integrals of fixed fields,151.5079635269075,151.00174161840965,0.0033524243036686437,151.5551094389403,1.000010575326505,184.56262872335913,181.8948721003363,0.014666475157976115,184.46251120708166,0.9999799515190209,184.73739285388734,181.8948721003363,0.015627272614826986,184.59957890040425,0.9999402021958426
square,128,10,20989773,111,3.2373712062835693,0.7252228260040283,7.010235382233784e-05,4194304,203508,beta22,independent product integrals of fixed fields,151.46789980265928,151.00174161840965,0.003087104686697132,151.52638825321276,1.0000003746642705,184.20693551204474,181.8948721003363,0.012710987313776845,184.11551628703836,0.9999773660410929,184.62203738540882,181.8948721003363,0.014993085036328926,184.49444167203694,0.9999411817808912
square,128,11,20989870,104,3.2759931087493896,0.6979048252105713,9.856701323079668e-06,4194304,203508,beta22,independent product integrals of fixed fields,151.44711971244013,151.00174161840965,0.002949489782415694,151.48662494796585,1.0000057172112773,184.47461065199101,181.8948721003363,0.014182579870815084,184.42724972649776,0.9999633484414808,184.9136315310248,181.8948721003363,0.01659617665869825,184.81854762039487,1.0001293966040086
square,128,12,20989967,106,3.2741410732269287,0.7544734477996826,3.3123060229730065e-05,4194304,203508,beta22,independent product integrals of fixed fields,151.52836614895648,151.00174161840965,0.003487539447575627,151.57597495101575,1.000007233749239,184.6490876010895,181.8948721003363,0.015141798495748237,184.3782912226838,0.9999615109444413,184.96204647350675,181.8948721003363,0.01686234657279695,184.80387401846056,1.0000112291468142
