potential,N,eigen_index,trials,lambda_ref,lambda_median,rel_error_median,rel_error_min,rel_error_max,retained_median,method_s_median
exp,128,1,20,145.07515747925558,145.94067173734055,0.005965971522096867,0.005131753424602858,0.006496024540686312,104.0,1.9399913000015658
exp,128,2,20,175.8033917442042,176.42164143339315,0.0035167108157305458,0.001782496904118961,0.006032328221835643,104.0,1.9399913000015658
exp,128,3,20,175.8033917442042,176.91040657824118,0.006296891220663825,0.003809481411478762,0.008354828191783783,104.0,1.9399913000015658
exp,128,4,20,175.8033917442042,177.81566171811107,0.011446138518389739,0.010343251813648495,0.014556904947950212,104.0,1.9399913000015658
exp,128,5,20,175.8033917442042,178.2889389694026,0.014138221114726356,0.012169093587215919,0.01654409852541794,104.0,1.9399913000015658
exp,128,6,20,175.8033917442042,178.6240625116859,0.01604446159711075,0.013876028153418136,0.018562779754222162,104.0,1.9399913000015658
exp,128,7,20,175.8033917442042,179.0996604263708,0.018749744526901417,0.016186878291894535,0.020222249644861648,104.0,1.9399913000015658
exp,128,8,20,175.8033917442042,179.4770159741596,0.020896207937219753,0.018728863841329546,0.022353494648420163,104.0,1.9399913000015658
exp,128,9,20,175.8033917442042,179.9216834732602,0.023425553330894522,0.020713573318717735,0.026034137128458815,104.0,1.9399913000015658
exp,128,10,20,175.8033917442042,180.58174595986188,0.027180102546657585,0.025340199132771173,0.030554093722660443,104.0,1.9399913000015658
exp,128,11,20,175.8033917442042,183.44408797497357,0.04346159738423405,0.03186975435277187,0.0495875647168978,104.0,1.9399913000015658
exp,128,12,20,206.5316260091528,208.51495042963015,0.00960300588728939,0.006424575512056129,0.011761645237304299,104.0,1.9399913000015658
exp,256,1,20,145.07515747925558,145.71495736797138,0.004410127135704024,0.003628852947893222,0.004838002293035838,151.5,4.895506100001512
exp,256,2,20,175.8033917442042,175.61639228806848,0.0010636851444129664,9.818126875742792e-05,0.0027670415495364255,151.5,4.895506100001512
exp,256,3,20,175.8033917442042,176.12082921587375,0.001805639063730003,0.0001610558537065403,0.0031987333431983678,151.5,4.895506100001512
exp,256,4,20,175.8033917442042,177.13203020720326,0.007557524629173534,0.005836225706436606,0.009757454551356067,151.5,4.895506100001512
exp,256,5,20,175.8033917442042,177.54761673430215,0.009921452440666376,0.008190114434283465,0.01105246665801558,151.5,4.895506100001512
exp,256,6,20,175.8033917442042,177.80484349025699,0.011384602573339016,0.00966340522791882,0.013169990875849854,151.5,4.895506100001512
exp,256,7,20,175.8033917442042,178.086884323277,0.012988899454199902,0.011869866126731026,0.016156618088782514,151.5,4.895506100001512
exp,256,8,20,175.8033917442042,178.38445776590208,0.014681548496250696,0.01234872081513342,0.016926937789410186,151.5,4.895506100001512
exp,256,9,20,175.8033917442042,178.79760075715785,0.017031577054612536,0.014404241092304452,0.019171369340305913,151.5,4.895506100001512
exp,256,10,20,175.8033917442042,179.56723881944168,0.021409411035220052,0.01920354878323574,0.024253539366464363,151.5,4.895506100001512
exp,256,11,20,175.8033917442042,181.52336782886954,0.03253621006918904,0.025559735280725485,0.04155450010654528,151.5,4.895506100001512
exp,256,12,20,206.5316260091528,207.2283882516315,0.003373634614428522,0.0014097021643156853,0.005632391249076726,151.5,4.895506100001512
exp,384,1,20,145.07515747925558,145.60921693718427,0.0036812605769877787,0.0032076312125498044,0.00440548564605919,177.0,8.08190189999732
exp,384,2,20,175.8033917442042,175.28777050948767,0.002932942473981127,0.0014049463993812948,0.004567148523819348,177.0,8.08190189999732
exp,384,3,20,175.8033917442042,175.7682310883094,0.0008666521123948423,6.659321142900022e-05,0.002370222907613957,177.0,8.08190189999732
exp,384,4,20,175.8033917442042,176.80660728631838,0.005706462953649268,0.00345442384955046,0.00757492873765928,177.0,8.08190189999732
exp,384,5,20,175.8033917442042,177.14703162871027,0.007642855300886831,0.005921368620769378,0.009449119945561451,177.0,8.08190189999732
exp,384,6,20,175.8033917442042,177.35021443155279,0.008798594111308296,0.007568124584854658,0.010392445519752842,177.0,8.08190189999732
exp,384,7,20,175.8033917442042,177.75148673945688,0.011081100176310602,0.009133257917484108,0.013298747202624568,177.0,8.08190189999732
exp,384,8,20,175.8033917442042,178.08051508432516,0.012952670125012257,0.010891361738885004,0.015465259507174207,177.0,8.08190189999732
exp,384,9,20,175.8033917442042,178.43341813770496,0.014960043531625788,0.011863225347292387,0.016389960612930295,177.0,8.08190189999732
exp,384,10,20,175.8033917442042,179.03653801095754,0.018390693345994222,0.016254648907009804,0.02117263279161036,177.0,8.08190189999732
exp,384,11,20,175.8033917442042,180.4781592096548,0.026590883253563367,0.021263060449270035,0.03751255224891302,177.0,8.08190189999732
exp,384,12,20,206.5316260091528,206.51927642330003,0.001157222693632914,4.0883731629324806e-05,0.002102735060440404,177.0,8.08190189999732
exp,512,1,20,145.07515747925558,145.56472834918088,0.003374601678411455,0.002826055060802104,0.004119201768848639,202.5,13.983671549991413
exp,512,2,20,175.8033917442042,175.08984731890413,0.004058763703138742,0.0027556856307644814,0.005686640700755918,202.5,13.983671549991413
exp,512,3,20,175.8033917442042,175.4657948795292,0.001920309166538718,0.0001772286257542798,0.0030858521232398502,202.5,13.983671549991413
exp,512,4,20,175.8033917442042,176.46971836285397,0.0037901806787623803,0.002608196349585682,0.005233254438357536,202.5,13.983671549991413
exp,512,5,20,175.8033917442042,176.75352985046425,0.0054045493481861655,0.003458702438308486,0.006897915832221419,202.5,13.983671549991413
exp,512,6,20,175.8033917442042,177.03928564330133,0.007029977560929963,0.005938132859071727,0.00895272470941055,202.5,13.983671549991413
exp,512,7,20,175.8033917442042,177.34782183642278,0.00878498461773558,0.007035305176983275,0.011232718718798789,202.5,13.983671549991413
exp,512,8,20,175.8033917442042,177.71243215371678,0.0108589509597759,0.008632724248731202,0.012470269563452438,202.5,13.983671549991413
exp,512,9,20,175.8033917442042,177.92653077741102,0.012076780841043168,0.010670732417789546,0.014959221820161695,202.5,13.983671549991413
exp,512,10,20,175.8033917442042,178.8222656845241,0.017171875413600587,0.013753544001966432,0.01965393266478761,202.5,13.983671549991413
exp,512,11,20,175.8033917442042,180.28741540475852,0.02550589960789064,0.020616612434763665,0.030991433995024888,202.5,13.983671549991413
exp,512,12,20,206.5316260091528,206.02533898842884,0.0024513776921580178,0.0006885873982548922,0.004020466744119767,202.5,13.983671549991413
square,128,1,20,151.0017431728773,151.28597846847597,0.0018823312209930222,0.0012034140585852988,0.002831712757689895,103.0,2.031140899998718
square,128,2,20,181.8948733883238,183.3932981723882,0.008237861552400324,0.005587117827717747,0.009748957941361838,103.0,2.031140899998718
square,128,3,20,181.8948733883238,183.818213888425,0.010573912635762432,0.007955481335984458,0.012217305063871474,103.0,2.031140899998718
square,128,4,20,181.8948733883238,184.0632947572533,0.011921289086032648,0.010309283872887166,0.014181622997657914,103.0,2.031140899998718
square,128,5,20,181.8948733883238,184.41800337462706,0.013871363932927861,0.010588782312593742,0.015506337787458708,103.0,2.031140899998718
square,128,6,20,181.8948733883238,184.7490847439821,0.015691543705934514,0.013077673236460193,0.01999915021854145,103.0,2.031140899998718
square,128,7,20,181.8948733883238,185.1426557475241,0.017855271557141075,0.014930555782086803,0.021959568410937224,103.0,2.031140899998718
square,128,8,20,181.8948733883238,185.49645766706598,0.019800361668540503,0.016519925953255823,0.023489525549287495,103.0,2.031140899998718
square,128,9,20,181.8948733883238,186.01039104787617,0.022625803481367196,0.018156368573521053,0.02515932728491315,103.0,2.031140899998718
square,128,10,20,181.8948733883238,187.1462764998774,0.028870539415052653,0.024422813413170603,0.03257302479817839,103.0,2.031140899998718
square,128,11,20,181.8948733883238,188.2285103759486,0.03482031609600807,0.03103234655403215,0.04035335381804301,103.0,2.031140899998718
square,128,12,20,212.78800360377028,216.04360368510982,0.015299735070599878,0.01277980294369214,0.018425875084183124,103.0,2.031140899998718
square,256,1,20,151.0017431728773,151.06823442815704,0.00044033435563468556,1.3484844060670868e-05,0.000892904103775051,149.5,4.457534950000991
square,256,2,20,181.8948733883238,182.46894068642808,0.0031560389108863515,0.0009854251873242226,0.006350797239943959,149.5,4.457534950000991
square,256,3,20,181.8948733883238,182.84515489014785,0.005224344612480321,0.003708900253303503,0.0075557595284010005,149.5,4.457534950000991
square,256,4,20,181.8948733883238,183.1230549756819,0.006752150648776678,0.004136907915720449,0.010153103482707987,149.5,4.457534950000991
square,256,5,20,181.8948733883238,183.49140637477677,0.008777229158320434,0.006947577164888526,0.010891486589235945,149.5,4.457534950000991
square,256,6,20,181.8948733883238,183.77991891652243,0.010363379094111601,0.008628291641653556,0.012364850500905186,149.5,4.457534950000991
square,256,7,20,181.8948733883238,184.10416608205878,0.012145986594236876,0.010737252218694275,0.015238218501783965,149.5,4.457534950000991
square,256,8,20,181.8948733883238,184.40513334577105,0.0138006086190685,0.010963292932517047,0.016908837048731418,149.5,4.457534950000991
square,256,9,20,181.8948733883238,184.72150147867535,0.015539899710735855,0.013912959536029869,0.018341328965091726,149.5,4.457534950000991
square,256,10,20,181.8948733883238,185.72375654396342,0.02104997839859641,0.0186670248729587,0.02446127842301792,149.5,4.457534950000991
square,256,11,20,181.8948733883238,186.91312442135145,0.02758874364927428,0.02439705214325322,0.032137660631108296,149.5,4.457534950000991
square,256,12,20,212.78800360377028,214.51964888332168,0.008137889590692757,0.0055160705298202455,0.009759536099715785,149.5,4.457534950000991
square,384,1,20,151.0017431728773,150.94679769098076,0.0003638731629318563,7.136603699271173e-05,0.0010381777308202508,179.0,8.934461550001288
square,384,2,20,181.8948733883238,182.05275735302052,0.0011468927484479508,2.0699330928578543e-06,0.0031143311484075793,179.0,8.934461550001288
square,384,3,20,181.8948733883238,182.33121650502548,0.00239887528754124,0.0009844558698065373,0.00473504447670783,179.0,8.934461550001288
square,384,4,20,181.8948733883238,182.7079634606081,0.004470109888960284,0.0027143607444548162,0.0064509845730890535,179.0,8.934461550001288
square,384,5,20,181.8948733883238,183.01701768310767,0.0061691914339345975,0.003696803211035068,0.0076809882047877065,179.0,8.934461550001288
square,384,6,20,181.8948733883238,183.3105775783965,0.007783090109694062,0.005379414803721232,0.009843209125508144,179.0,8.934461550001288
square,384,7,20,181.8948733883238,183.61563514583798,0.009460199319859752,0.006898977487846123,0.010933124014081613,179.0,8.934461550001288
square,384,8,20,181.8948733883238,183.9471038371419,0.011282508465408157,0.009381687472114568,0.012692040993423342,179.0,8.934461550001288
square,384,9,20,181.8948733883238,184.16628265144496,0.01248748368114798,0.010956092671844296,0.015006593698095752,179.0,8.934461550001288
square,384,10,20,181.8948733883238,185.03960490379922,0.017288730885569363,0.014754723108185265,0.019949827455672794,179.0,8.934461550001288
square,384,11,20,181.8948733883238,186.19217506158674,0.023625194010216767,0.020477554082113016,0.02633454132085376,179.0,8.934461550001288
square,384,12,20,212.78800360377028,213.43379597275444,0.003034909666179688,0.00021924650118535185,0.005212451838563319,179.0,8.934461550001288
square,512,1,20,151.0017431728773,150.8796865059378,0.0008083129662930223,0.00038982775003506816,0.0011899450753934426,200.0,15.285297399997944
square,512,2,20,181.8948733883238,181.70283191591992,0.0010557827652123357,6.486256110201419e-05,0.002233719616060998,200.0,15.285297399997944
square,512,3,20,181.8948733883238,182.10943898670612,0.0011796132259553251,0.00011634038748955944,0.003399675623747531,200.0,15.285297399997944
square,512,4,20,181.8948733883238,182.38762098071737,0.002708969105146867,0.0015813450633599554,0.005012783594062084,200.0,15.285297399997944
square,512,5,20,181.8948733883238,182.71098672262735,0.004486730819297262,0.002832958218626216,0.005787508154353546,200.0,15.285297399997944
square,512,6,20,181.8948733883238,183.01289478998194,0.006146525082492558,0.004681770353983784,0.007223489712846453,200.0,15.285297399997944
square,512,7,20,181.8948733883238,183.34872260061596,0.00799279927581233,0.007227226498864011,0.008680534278175552,200.0,15.285297399997944
square,512,8,20,181.8948733883238,183.6033250425186,0.00939252229801704,0.008118056069805668,0.010862637984579968,200.0,15.285297399997944
square,512,9,20,181.8948733883238,183.86989265605274,0.010858026017657514,0.009371480176835945,0.012279549259666228,200.0,15.285297399997944
square,512,10,20,181.8948733883238,184.76126378439852,0.015758500185738242,0.013283342042468631,0.017123859977154945,200.0,15.285297399997944
square,512,11,20,181.8948733883238,185.74611979605118,0.021172924425997712,0.01776256819815531,0.024695733526911914,200.0,15.285297399997944
square,512,12,20,212.78800360377028,212.91993667965852,0.0011384549632771444,8.963539187018041e-05,0.002676835061604583,200.0,15.285297399997944
