seed,features,retained_rank,frequency_radius,energy_cutoff,keff,keff_error,flux_error,seconds
2026071201,6000,5409,105.0,1e-12,0.9688090044635068,2.4555707495744557e-05,0.00679277352284005,491.8578413000796
2026071202,6000,5417,105.0,1e-12,0.9688126038566289,2.0840522438747984e-05,0.006594801227934227,494.7242801999673
2026071203,6000,5405,105.0,1e-12,0.9688125367698839,2.090976735428501e-05,0.006616625564613875,493.67219650000334
2026071204,6000,5430,105.0,1e-12,0.9688125510444574,2.0895033569880453e-05,0.00659132868836974,493.06448410009034
2026071205,6000,5409,105.0,1e-12,0.9688125275506344,2.0919283185627696e-05,0.00664522808498807,493.7730182001833
